,SSD SP500,SP500,Risk free rate
2024-04-19,1.3336475235034522,1.0473135017001767,1.0
2024-04-22,1.341470380456028,1.0564578520322707,1.0
2024-04-23,1.3598512089127894,1.0690979210914597,1.0
2024-04-24,1.368110076303036,1.0693256543176615,1.0
2024-04-25,1.373928620735928,1.0644319517159173,1.0
2024-04-26,1.3807194389609463,1.0752989022313912,1.0
2024-04-29,1.4092584457744104,1.078716671718854,1.0
2024-04-30,1.38733134064432,1.0617479002673953,1.0
2024-05-01,1.3789136693105162,1.0581003312768889,1.0
2024-05-02,1.398035939151106,1.0677591423736643,1.0
2024-05-03,1.4059340516797127,1.081166706772819,1.0
2024-05-06,1.4301816991817342,1.092330969224472,1.0
2024-05-07,1.4148793256923007,1.0937984474712683,1.0
2024-05-08,1.4375624658150805,1.093792058880625,1.0
2024-05-09,1.4579420323181362,1.0993605062934892,1.0
2024-05-10,1.4632490291407028,1.101173790728873,1.0
2024-05-13,1.448881011349217,1.100908063310132,1.0
2024-05-14,1.4605407131337318,1.1062340605454115,1.0
2024-05-15,1.4830387925365431,1.119194613359648,1.0
2024-05-16,1.4642247218625144,1.1168648229671982,1.0
2024-05-17,1.4687426492866817,1.1181657129147426,1.0
2024-05-20,1.4644394134629475,1.119190396468134,1.0
2024-05-21,1.4794030617184881,1.121990475686658,1.0
2024-05-22,1.4740052910986767,1.1189542294589045,1.0
2024-05-23,1.4740012249617969,1.1106954474291626,1.0
2024-05-24,1.5094451828695885,1.1184714797184068,1.0
2024-05-28,1.504948571901003,1.1187497523894014,1.0
2024-05-29,1.4911292833332406,1.1105078800946295,1.0
2024-05-30,1.5052065195238302,1.1038725591287784,1.0
2024-05-31,1.4911180033144364,1.1127343144760762,1.0
