Date,055018,0BC29E,0BF4BA,168A5D,1A3E1B,24CB56,25102A,2DBF98,2F94A5,3461CF,3CCC90,3D9999,3ED92D,4C37C5,4D371E,50070E,51E682,58CA9A,59B229,5B6C11,5BC2F4,5DD486,60DD84,6166D1,619882,61B81B,61BCA7,73C521,766047,810E30,8377DB,8CF6DD,8FF2EF,9196A2,94208D,968B00,990AD0,9A02C4,9B5968,9F71E5,A8CBDA,AADE0B,AD3C93,B3CB74,B8F71F,BFE02C,C08256,C598D7,C5EF8D,C9E107,CFF97C,D1AE3B,D33D8C,D5AF19,DD682D,DE27F9,E1C16B,E206B0,E8846E,E90C84,EF5BED,F1529C,F1FA25,FACTSET,FEC475
2023-04-14,92.1594,48.4402,14.3916,319.74,28.2751,10.2022,53.0618,229.9641,99.5401,294.96,79.9232,27.8402,520.7519,158.3434,26.6239,314.5221,100.0269,44.6193,68.6539,23.7032,72.9816,171.2675,321.3477,30.7081,130.1616,108.0568,66.6225,15.8949,64.2556,55.2109,23.6912,37.5878,124.12,78.5195,67.65,55.7322,27.4552,297.5385,165.9101,103.8575,96.5184,194.8304,62.6551,89.974,38.1372,25.5968,78.6128,57.7304,317.284,10.0541,339.443,104.9439,48.5858,647.566,110.8921,188.329,105.7182,159.8828,36.7031,104.9385,42.8485,132.2373,344.9818,399.964,73.4924
2023-04-17,93.3522,48.8922,14.6472,323.79,29.134,10.3879,53.6486,230.458,100.0058,295.9747,77.9233,27.9897,518.3797,158.8187,27.4951,317.0986,100.7578,44.7363,69.7214,23.7918,66.2789,172.7421,325.355,31.2526,131.1936,112.3126,67.2864,16.2641,65.5306,56.0488,24.4798,39.0896,126.4589,80.8558,68.75,56.6835,28.2458,299.6348,166.8586,104.3212,97.9399,197.513,62.9958,92.1659,38.77,26.67,80.3726,58.752,322.4958,10.3185,340.5652,113.1079,50.4998,654.151,113.6809,190.6665,108.3204,162.6461,38.2402,106.5622,40.8799,133.0012,349.39,402.3504,74.7806
2023-04-18,93.085,49.4007,14.8346,324.63,28.7853,10.2022,53.4947,230.8841,99.6719,297.8967,78.1687,28.2606,525.0237,159.4881,27.0773,311.7122,101.0577,45.0875,69.64,23.907,68.3034,172.0767,322.151,30.9013,132.6667,112.0163,68.5192,16.058,66.1161,55.8394,24.3454,38.751,126.6325,81.3629,68.7,56.9907,28.4225,303.5003,167.5484,103.8382,98.8653,200.8274,63.2986,93.0792,39.0429,26.7755,84.307,59.2824,324.5102,10.2215,343.6487,113.1709,51.6769,650.0951,111.9809,194.014,107.6133,163.3298,38.7679,107.2959,41.4899,132.6628,355.0082,402.8529,74.7119
2023-04-19,94.7549,50.0693,14.8858,323.09,29.5847,10.4469,55.1781,230.3417,99.1007,295.76,79.0777,28.7651,526.0073,160.0217,29.0863,314.4941,101.5075,45.3756,69.7576,24.0399,68.6591,172.8769,321.166,31.6214,132.4978,115.2576,68.4054,16.5046,66.7677,56.2947,25.107,40.8778,126.9157,81.9062,69.01,56.9709,27.9575,303.8272,166.2742,104.6593,100.8973,198.4267,63.346,93.1465,38.9747,26.8283,85.2744,59.3217,321.7723,10.433,343.5121,116.6633,53.1602,651.2285,113.5663,196.7171,109.8478,173.367,39.1105,107.335,41.8133,133.417,359.5125,402.4374,75.4418
2023-04-20,92.8178,49.2877,14.6557,323.82,28.4707,10.16,54.3412,233.8668,98.547,295.36,78.0505,27.8963,527.0681,158.4016,27.664,316.1931,100.1955,44.4752,68.7444,23.8272,68.3855,171.1506,318.1916,30.5237,132.1131,112.7705,68.4623,16.2212,66.5222,55.384,24.9457,39.758,126.4406,81.8881,66.74,56.6042,27.8087,303.6253,172.1564,104.099,100.344,202.0521,62.9106,92.4639,39.3034,25.5616,84.7124,59.7736,325.6835,10.248,344.3708,112.3428,51.6769,652.2963,111.6753,196.1976,110.668,170.2239,38.5827,107.3057,41.4436,134.1325,360.7226,402.6016,74.231
2023-04-21,92.169,48.5437,14.5449,324.33,26.7614,9.7803,54.8029,233.6441,98.3888,296.1991,77.5415,27.7655,525.1587,158.8866,26.0905,318.947,99.1272,44.1421,67.9845,23.65,67.1453,170.5931,312.7497,29.4349,131.8598,110.7773,67.9787,15.7661,65.6722,54.8011,24.6231,37.9611,125.1889,82.513,67.02,55.9304,27.7807,302.0291,172.4151,104.669,100.6684,201.9452,62.4375,92.0601,35.6808,25.3329,82.4181,60.3138,326.2018,10.0805,343.2096,111.6947,51.4855,637.8337,111.9809,193.5331,109.1595,170.4518,38.1846,105.2711,40.7135,134.8964,355.9398,407.2199,73.6041
2023-04-24,91.9304,48.798,14.3575,326.05,27.059,9.3921,54.4278,232.6757,98.8634,295.282,78.296,27.6347,525.1684,155.7919,25.1305,321.0941,98.9211,44.1421,68.5182,23.9158,66.9994,168.3363,306.208,28.7938,132.038,111.5764,68.7658,15.7145,65.9933,55.0197,24.2468,37.0149,123.7088,81.6799,65.82,56.1186,27.6784,300.8848,171.7445,104.2633,99.6857,201.605,62.5321,91.839,35.9041,25.157,81.6534,59.9799,324.2266,9.8691,339.2479,112.0638,50.8347,631.511,111.9332,192.9367,109.2727,170.1004,38.379,104.9678,40.5286,135.0994,356.5833,407.9156,73.7415
2023-04-25,90.604,47.9787,14.3149,324.34,25.877,8.8436,53.1676,232.0268,96.0952,298.9894,71.0509,27.2236,454.3308,151.4555,23.7615,316.9119,97.0375,43.1248,66.1842,23.2513,64.4004,168.8488,301.9903,27.8981,129.167,111.0646,68.8417,15.2938,65.2472,53.9267,22.9923,35.3395,123.2246,79.742,62.38,55.6033,26.8228,278.8649,170.3362,102.7273,97.1003,201.3815,62.2388,87.8398,35.749,25.3945,79.6355,61.8954,323.0532,9.64,336.8571,108.0223,48.8346,617.9477,111.341,193.5235,108.3393,168.3817,37.5457,103.9016,39.2716,134.4999,355.3444,398.1283,72.0325
2023-04-26,90.0983,47.8469,14.4342,320.53,26.0216,8.9111,52.071,230.2643,95.3043,297.4967,69.5237,27.2236,441.8624,151.0674,23.4593,314.186,95.3975,42.1885,66.0214,23.1892,63.6708,166.2773,296.9979,27.6786,126.8777,114.7907,68.5572,15.2165,64.6617,53.6626,22.9207,35.2613,122.2835,80.0861,63.22,55.197,26.4508,281.2688,168.8704,101.0561,96.5279,199.6805,61.8792,88.6377,35.5815,25.6496,78.6036,61.7087,320.1002,9.543,331.8415,108.5803,48.4231,609.4799,111.3124,190.8204,107.5379,167.7075,36.5365,103.0115,38.6247,133.1075,354.3264,387.8193,71.878
2023-04-27,91.5964,49.0993,14.6813,326.23,26.6849,9.2402,52.7347,218.6818,97.3958,303.8189,70.0237,27.4198,447.7157,153.7159,23.6282,318.891,97.0937,42.3415,67.5412,23.588,64.9019,165.8097,299.5037,28.6006,128.5853,114.9433,70.0651,15.4569,66.0216,54.9286,23.1536,35.8777,123.0784,81.7342,63.83,56.3466,26.8693,290.7883,171.9169,103.7706,97.3007,203.1893,65.7401,85.9363,35.8545,26.4677,80.2897,62.9071,325.4782,9.825,346.9762,111.6947,49.5045,620.7297,114.5691,191.4553,108.6598,171.164,36.7217,104.958,39.1748,133.6297,359.0611,396.2829,73.501
