Date,003B70,10646E,1490F3,159AE4,275300,2FEA66,315EB0,37727A,420168,4FB770,51D876,56EA2B,6284B5,6B236C,6BF593,7999F3,7C4168,8EF425,900356,A4386C,A80FE0,AE4EEB,AFEC35,B5DE80,CE4FD9,DB30C3,DB7014,DC5299,F67165,FF4BA4
2023-04-25,52.9615,28.3552,89.1258,16.3149,104.9229,157.2873,666.6017,36.2288,43.4872,133.3338,70.48,106.1577,49.3615,29.2028,13.7042,42.3247,239.2975,131.7862,94.2126,18.788,187.0903,54.6763,259.0562,53.7737,71.4783,110.5031,86.0301,96.2703,189.256,27.5447
2023-04-26,52.3384,28.1493,89.1532,16.1419,103.1288,156.8015,663.485,35.9717,44.248,132.4913,69.94,105.7085,48.9976,28.9953,13.6009,41.8317,237.947,131.3939,93.4535,18.4854,185.792,54.4324,257.8324,53.1128,71.2724,109.065,84.9621,95.5082,187.5352,26.8997
2023-04-27,53.175,28.5612,92.8774,16.4273,105.5581,162.8422,675.7736,36.4327,45.6659,134.0256,76.14,108.0776,50.0165,29.6539,13.6956,43.0368,244.2714,134.8883,95.4029,18.877,190.7071,55.8417,261.2269,53.9524,72.9754,111.9137,86.8288,97.8035,192.5245,27.084
2023-04-28,53.865,29.1188,90.5041,16.6004,105.6611,165.3355,679.7541,36.6455,46.1327,134.8415,76.66,109.3634,50.253,30.105,13.9194,43.8676,248.1135,137.099,97.7492,19.5534,189.5479,57.1427,263.3709,54.8633,74.1263,114.7257,88.7494,101.0351,200.054,27.5632
2023-05-01,53.3507,28.9815,88.4777,16.3062,104.7598,166.5271,677.8108,36.548,45.6572,135.1608,76.4,107.285,50.3712,30.1501,13.928,43.5207,248.2562,137.723,97.8958,19.2597,185.013,57.5131,261.3699,54.1578,73.2281,112.1152,87.6634,102.1552,200.9007,27.4157
2023-05-02,52.6221,28.055,86.4878,16.0294,101.7382,163.3922,660.1241,35.6259,44.2739,134.1054,75.1,105.2858,49.7435,30.3576,13.7559,43.0733,234.8942,133.8899,96.6537,18.8503,181.8877,56.3838,256.2066,53.5773,72.3766,112.1885,86.3352,100.3557,197.7232,26.7799
2023-05-03,52.2621,27.5573,86.5243,15.9602,101.1716,162.9797,654.9233,35.6347,43.4612,130.6022,74.09,106.9943,50.1893,30.1772,14.0055,43.4477,229.1215,133.3372,92.8065,18.9393,178.0298,56.3115,252.1868,53.2825,72.5356,113.7273,86.2814,100.2456,197.2498,26.9826
2023-05-04,53.0764,27.7976,87.5193,15.9516,100.9485,163.4105,684.6921,35.6968,43.7984,133.7329,73.66,107.0472,50.6169,30.114,14.9008,43.612,226.6298,133.2213,93.0308,19.0283,180.2833,56.447,259.3242,53.6755,71.9555,114.3868,86.5416,99.8691,197.2042,26.7338
2023-05-05,53.9593,28.1493,88.0122,16.2716,101.721,164.7672,694.6995,36.6455,44.8964,137.2361,74.55,108.8878,51.2992,31.0252,15.2881,43.685,227.8566,135.8421,94.4972,19.1173,182.4627,57.2601,264.3356,54.2471,73.6959,116.5577,86.4608,101.3105,200.2998,27.342
2023-05-08,53.7964,28.2866,88.8794,16.0035,99.8926,165.3263,694.8122,36.5923,44.0232,139.2227,73.14,107.7517,50.9353,31.0162,14.9955,43.3107,221.713,135.4499,93.1602,18.8859,179.1797,56.8987,265.613,53.3004,71.4222,116.6676,84.7018,101.7788,199.0525,27.4157
2023-05-09,53.3335,28.2694,88.1856,15.7094,100.4763,164.373,683.6782,36.1313,44.0837,138.7349,73.38,106.7654,50.7442,30.9525,15.0643,42.7812,222.6545,134.4247,91.8577,18.7435,179.4672,56.3386,267.355,52.5859,73.2842,115.3394,83.1851,101.5125,196.9402,27.6092
2023-05-10,53.4621,27.9263,90.2486,15.6834,102.1073,165.1338,704.3596,36.4948,43.7552,139.0631,73.81,107.6901,50.7897,31.3434,14.9094,42.9455,225.441,135.3875,91.8922,18.7613,182.101,56.6006,267.9981,52.6842,74.2761,117.3179,82.9249,101.5309,197.359,27.7382
2023-05-11,52.9735,27.3858,89.2445,15.5709,100.1673,165.3263,697.9289,36.6633,42.735,135.3115,73.64,106.0432,50.2348,30.9344,14.5134,42.6351,221.6369,136.5017,91.6507,18.7613,181.4796,56.8355,263.5227,52.2376,74.0608,115.1746,81.5338,101.8063,197.5502,27.4157
2023-05-12,53.1707,27.3686,88.6329,15.8045,100.1673,165.1613,693.9767,36.6899,41.8618,136.1718,73.1,105.2066,50.1165,30.9162,14.4101,42.4434,225.1177,136.7335,91.7369,18.6634,185.7456,56.7361,264.4071,52.2733,74.2012,114.6525,82.0364,101.4482,196.0389,27.4894
2023-05-15,53.0935,27.3,89.8013,16.1678,97.7724,163.768,694.9436,36.5746,42.4584,135.0011,74.16,106.3955,50.6351,30.9798,14.5651,43.0733,223.7577,135.744,92.2372,18.6367,181.2663,56.429,262.6205,52.8092,75.5591,114.7532,82.521,99.9242,194.8826,27.7198
2023-05-16,51.6792,26.6822,85.4381,15.6228,95.6693,160.6698,672.441,35.8032,40.686,132.2518,73.57,103.4804,49.4433,30.189,14.5995,41.6583,220.4386,132.3834,89.4769,18.0493,177.1673,55.2274,258.0289,50.9247,73.1074,111.0618,79.3261,97.4087,190.4123,27.0102
2023-05-17,51.9878,27.0254,87.282,16.0554,98.2445,162.4022,683.5655,35.9451,42.5016,132.3228,75.36,104.8279,50.2803,30.5435,14.6684,41.85,223.1205,132.8291,91.6938,18.165,180.6172,55.6249,256.3942,52.4966,73.0885,112.39,81.1838,98.033,192.0784,27.1669
2023-05-18,51.4906,26.9139,85.9858,15.8997,97.8496,161.2656,677.0316,35.6702,42.6659,132.305,76.81,102.9608,50.1893,30.4889,14.9352,41.1287,223.4058,132.2675,91.0382,17.9781,177.158,55.4171,254.4111,52.0143,72.4944,111.8038,80.1158,98.1891,190.8584,27.2038
2023-05-19,51.4049,27.1112,82.8366,15.8478,97.0685,161.5497,679.2847,35.7677,42.4324,131.3472,77.28,101.9832,50.3622,30.4799,14.6942,40.8731,221.9507,132.0892,90.8829,17.7111,176.8798,55.5165,254.5004,51.4695,72.1738,112.7198,79.6402,97.7759,190.9949,27.2683
2023-05-22,51.722,27.1198,83.5303,16.2457,98.7681,161.9897,682.2325,36.0426,43.2797,131.835,78.06,103.6477,50.071,30.5798,14.7372,40.5444,224.8799,131.2335,91.4178,17.8891,179.4208,55.8327,254.152,52.1929,72.1267,113.7914,80.9505,97.5648,192.1057,27.0102
