Date,0157B1,034B61,067779,06EF42,143C52,1791E7,1BC12C,24D81E,34A959,385DD4,39692D,3CBA2A,40B903,4595EF,45CF4C,56CC0A,5DE5A5,5E7E82,64CEBB,66E04A,69E8E1,6E1E61,751A74,76E80F,7D5FD6,8C6C1B,8E8E6E,91C82E,954E30,972356,97693A,9BBFA5,9E91C6,A5151E,A6213D,A63820,AA7FE0,AA98ED,ACDF88,B4C673,BB0787,BDD12C,C15DB3,C29715,C9B932,CF7292,D64C6D,D69D42,D78CCD,DC2B00,DD3BB1,ECF709,F6DCE4,FC1F9D,FF4C20
2023-04-24,106.21,2640.9043,9.2374,105.3346,153.46,41.5193,33.2337,317.6578,43.83,169.2344,93.2252,101.4426,75.3962,81.6417,33.4942,13.05,336.9869,64.4371,105.61,147.1954,98.19,60.4667,61.2065,199.0077,62.5389,103.3016,44.75,103.885,273.5828,41.5331,381.37,136.4244,111.0179,52.8481,10.0682,35.9394,68.88,45.6091,281.4371,131.0969,38.8029,116.9959,152.912,5967.22,60.74,547.4,120.0462,110.7814,21.1399,209.7613,162.55,2677.12,147.0584,47.4179,102.84
2023-04-25,102.57,2606.7361,8.9189,105.0434,152.36,40.8352,31.8962,317.0422,42.22,167.8074,91.1665,101.4891,73.7736,79.3783,32.3475,12.73,324.1802,62.5272,102.32,145.0933,95.47,59.8507,59.2254,195.1127,63.6063,101.0008,43.44,103.1925,272.0059,41.6751,372.81,133.8563,108.2541,52.2567,9.867,35.6,67.36,45.0008,276.4827,130.0682,37.3311,110.219,151.028,5754.71,59.2773,541.86,117.7509,107.2518,20.5773,206.9416,160.67,2678.34,141.3802,46.3556,98.37
2023-04-26,104.98,2559.7758,8.7198,102.966,153.23,40.7,31.2274,326.0833,41.38,160.2936,88.9494,103.4661,74.3689,79.7583,32.2077,12.46,319.6868,62.6499,102.86,140.1455,94.86,59.6133,58.4114,190.2984,63.293,101.6416,42.37,101.4635,270.373,41.0596,372.94,135.739,106.14,51.9517,9.6742,40.197,67.92,45.327,268.776,130.2569,37.0812,107.2837,149.455,5681.59,58.698,547.45,116.9763,106.8321,20.5312,206.7718,153.75,2644.83,139.4426,46.1318,97.77
2023-04-27,109.82,2601.2369,8.8591,105.1696,153.37,40.2355,31.712,305.0292,43.41,160.5557,91.4634,104.6542,75.7898,79.225,32.4128,12.83,329.1547,64.4196,101.65,140.5421,98.78,61.0447,60.4709,193.8333,64.899,102.4667,43.39,103.8339,275.0011,43.1429,378.08,138.1883,106.8867,52.9128,9.7329,40.7252,70.4,51.9572,274.2435,131.9464,37.8125,112.5805,153.287,5799.52,59.0969,547.77,118.7332,109.4555,21.3428,208.9314,160.19,2660.73,141.8646,45.354,100.49
2023-04-28,105.45,2647.4285,9.1677,106.6063,153.71,40.6494,32.0222,305.3466,45.29,164.3903,92.9976,106.0836,75.6746,79.89,32.7204,13.35,338.0357,65.2869,102.86,142.8028,105.9,61.154,64.1682,196.9607,65.7608,103.6123,44.92,104.8657,275.9622,43.9667,379.93,138.8555,110.824,53.3471,9.9592,41.3524,70.03,52.8405,280.4108,132.6826,37.7755,116.0729,153.9271,5840.0,60.6451,551.43,119.6967,109.5032,21.6841,208.8465,164.31,2663.31,141.5058,45.2232,101.03
2023-05-01,102.05,2652.1393,9.4464,105.2473,153.67,40.3791,32.4486,299.3641,46.51,165.1669,93.4528,106.3342,75.1946,80.9933,32.4967,14.54,333.6674,64.5247,102.19,143.2292,103.32,61.9733,65.6883,197.3303,64.4192,102.6609,46.04,104.4753,277.6698,43.2376,384.99,138.2432,112.104,53.6982,10.1101,40.7856,70.48,52.323,277.761,134.2399,37.6181,116.2392,156.3141,5870.49,61.6044,532.88,120.8302,108.4634,20.9924,207.564,161.83,2679.54,140.9406,45.3275,96.27
2023-05-02,103.63,2676.738,9.4066,105.6462,154.69,39.9484,32.0609,299.6911,44.58,173.3893,92.2849,106.2414,75.1178,80.82,32.2543,14.37,333.7732,64.1305,101.23,144.7264,101.07,62.4347,66.5023,195.198,64.4094,101.7095,45.95,105.0795,278.127,42.7262,380.75,138.7641,109.7766,52.8758,9.8921,41.0792,71.33,52.2427,274.57,134.8722,36.822,115.5823,156.3507,5886.56,60.4361,530.94,120.2068,107.3186,20.0977,207.696,160.31,2702.89,139.6848,45.8966,99.19
2023-05-03,103.65,2607.9089,9.3867,106.6678,152.31,39.2389,31.4794,302.8363,44.02,173.234,89.6423,96.4954,74.7337,80.8183,31.9933,14.14,338.4206,63.7625,99.84,144.4984,101.63,62.1113,65.7864,194.5725,65.1145,100.9523,43.74,106.0928,275.4677,42.3948,383.12,138.4351,106.0237,52.7926,9.8838,41.1624,70.67,53.2956,273.4504,129.5963,36.063,117.3701,157.2835,5894.82,58.3465,523.17,119.7156,107.1755,20.2453,204.8103,160.61,2677.58,138.6532,46.1546,98.965
2023-05-04,104.0,2565.886,9.3469,104.3229,151.675,36.1478,30.7138,299.518,43.36,171.3216,88.2566,97.2008,73.9945,79.795,31.2009,13.75,331.8296,62.7287,92.05,141.4147,99.03,62.2413,70.4938,192.1938,64.997,99.8262,42.81,104.4381,275.4117,42.0255,382.06,139.7603,105.9461,51.9332,9.691,40.6702,68.07,53.4562,266.6113,128.6619,35.2392,112.8799,156.6708,5801.35,58.603,514.0,116.8158,104.7811,19.3506,204.235,161.2,2661.6,136.8233,44.9234,92.55
2023-05-05,105.655,2532.1121,9.9641,105.1986,155.47,37.6765,32.2354,299.2295,44.68,171.4089,92.5819,99.512,75.3674,80.8733,31.4247,14.13,340.5759,64.4546,93.42,143.3879,100.22,62.7187,74.1519,195.0464,65.6335,101.3892,43.14,105.4514,276.7554,43.2092,386.71,139.9157,107.4298,52.7372,10.0514,40.5642,70.61,53.8756,270.2221,129.7661,36.0723,113.9359,158.884,5852.47,58.5555,520.05,119.5739,108.5969,20.4021,206.4795,170.06,2691.58,140.2051,45.5893,90.0
