Date,12E454,251988,3C7F5F,4A6F00,4A6F00_2,57DDB9,622DBE,8A8E41,9C25FF,A01664,A13375,A13375_2,A18D3C,ADF092,C8257F,C83B88,D88EF3,DB06B0,DD1BA1,DD1BA1_2,E30B34,ECD263
2023-05-11,234.1577,14.5488,14.7147,115.606,115.9401,137.2414,30.7688,31.1614,77.76,125.57,29.5269,27.0233,90.8018,12.38,83.8585,34.9003,341.71,123.3999,16.5241,16.4155,32.5335,34.476
2023-05-12,232.1914,14.6088,14.3797,116.5382,116.9518,138.6071,29.9534,31.1531,78.15,125.26,29.575,27.1289,90.487,12.51,85.4321,34.762,338.09,123.5477,17.9576,17.808,32.9911,33.989
2023-05-15,237.2065,14.5402,15.136,115.5465,115.9997,139.088,31.487,30.4735,80.39,125.07,29.8542,27.4647,91.3428,12.81,84.4014,34.7533,343.24,122.9273,18.5368,18.4061,32.2554,33.589
2023-05-16,237.1667,14.1799,14.3126,118.5217,119.104,138.2032,30.5552,29.8768,80.75,124.05,29.3921,27.0713,89.4935,12.15,84.5487,34.3557,335.34,123.203,18.1343,18.0139,32.4617,33.375
2023-05-17,240.8064,14.2914,14.9062,119.8407,120.4825,136.1643,30.662,29.9845,82.05,125.02,30.2104,27.7622,91.2543,12.51,85.5149,34.8312,338.54,123.0061,18.4779,18.3571,33.2872,33.996
2023-05-18,245.1412,14.1971,15.0402,121.8142,122.5058,132.8943,31.0794,29.9431,84.5,139.63,29.9312,27.5415,92.2281,12.4,86.702,35.713,343.61,124.2763,18.5172,18.4061,34.4626,37.129
2023-05-19,243.9395,13.9912,14.5233,121.7448,122.238,133.7118,30.9047,29.8768,84.73,137.43,30.1719,27.7526,89.8575,12.2,85.8554,35.6006,340.4,123.7347,18.3601,18.2198,34.6151,36.536
2023-05-22,246.601,14.0512,14.3509,124.0159,124.8365,136.1835,32.9818,29.8022,84.75,137.25,30.143,27.791,90.3198,12.16,85.3953,35.6524,341.49,123.203,18.3012,18.1708,34.633,36.301
2023-05-23,245.0319,13.811,14.2839,121.5465,122.2777,135.9623,33.6612,30.0343,82.06,135.78,30.1815,27.8102,88.3525,11.69,84.6959,34.909,336.44,123.3704,18.1343,18.0139,34.4446,35.599
2023-05-24,247.4848,13.6824,14.0159,119.9002,120.6412,134.6447,32.9721,29.7276,82.08,135.84,29.8735,27.4935,87.6147,11.66,83.6377,34.5632,331.24,123.4787,17.9968,17.8668,33.7448,36.485
2023-05-25,250.9407,12.9961,13.4797,122.4589,123.329,130.5669,32.6518,28.8574,81.69,136.73,29.912,27.7526,86.6999,11.09,82.0089,33.7937,319.66,123.4787,17.987,17.8766,33.6371,35.9
2023-05-26,260.226,13.2963,14.2743,123.5795,124.4001,129.9802,33.108,29.0066,82.15,138.98,30.2297,28.0693,86.8475,11.44,82.7727,34.1309,330.25,124.8573,18.3012,18.1806,33.8345,37.888
2023-05-30,260.7027,13.4164,14.5137,121.0308,123.6166,129.9514,33.8651,28.9237,80.23,138.28,30.3067,28.1077,86.3851,11.3,83.1592,33.8543,333.34,124.7291,18.5761,18.4159,34.0992,39.298
2023-05-31,262.8875,13.4936,14.5616,121.8539,122.357,131.9999,33.4865,29.5287,79.94,137.73,30.0371,28.0309,86.5228,11.28,81.1531,34.0185,326.15,126.228,18.1441,17.955,33.3679,39.523
2023-06-01,270.7228,13.5623,14.7339,122.6969,123.3488,133.5964,36.9031,29.6033,81.13,137.59,30.143,28.0213,87.1426,11.35,82.1745,33.7505,328.02,125.9223,18.5368,18.3277,33.8704,40.313
2023-06-02,270.7228,13.0476,14.7435,123.639,124.2018,126.1717,37.8252,28.6585,82.83,137.52,30.6822,28.6355,89.2869,11.75,84.0334,33.8802,329.32,125.9026,18.6645,18.4355,34.6958,40.047
2023-06-05,269.5113,13.202,14.485,124.9679,125.5903,127.1623,37.5922,28.5591,82.5,136.72,30.9902,28.8658,89.5132,11.63,83.7849,34.3989,334.91,125.2616,18.4779,18.2688,34.334,40.354
2023-06-06,269.2431,13.4422,15.1168,126.2572,126.8597,123.6231,38.5532,28.758,82.99,135.68,31.3272,29.2209,90.6542,12.1,85.4045,34.1136,329.0,125.3799,18.7626,18.5826,34.8225,39.929
2023-06-07,261.7752,13.811,15.7008,121.487,121.9306,121.7092,38.1649,29.2221,82.81,132.25,32.107,29.9214,91.0083,13.12,87.2357,34.883,336.71,124.4924,19.1947,19.0533,35.8264,39.977
2023-06-08,262.7484,13.7853,15.8731,121.1299,121.6628,125.335,37.9028,29.363,83.22,133.12,32.5787,30.3436,91.0182,14.02,87.5694,34.9868,336.18,125.3504,18.9786,18.8278,36.0526,40.937
2023-06-09,263.1159,13.6824,15.4136,121.2192,121.8611,126.3352,40.3682,29.3961,84.15,134.03,32.2899,30.1325,90.428,13.84,87.5972,34.7793,328.48,124.1965,19.067,18.8376,35.8445,42.002
2023-06-12,269.1736,13.6652,15.8061,122.6175,123.329,125.7774,40.0673,29.5121,85.67,136.0,32.2418,30.0941,91.6182,13.97,88.3481,35.177,335.3,124.019,18.8608,18.6317,36.0887,42.397
2023-06-13,269.4418,13.5708,15.9114,122.806,123.4083,124.9118,41.7077,29.4044,87.03,136.47,32.0685,29.9214,92.3166,13.79,88.413,35.1683,335.27,125.5574,19.2928,19.0337,36.3691,43.573
2023-06-14,271.4577,13.588,15.9403,122.6473,123.3587,123.1518,42.8142,29.6116,87.08,136.63,32.0492,29.931,90.9395,13.67,87.7177,35.3066,335.25,126.1294,19.1357,18.8866,36.3058,44.086
2023-06-15,279.879,13.751,15.873,124.0555,124.7572,127.6817,42.028,30.2,90.34,137.2,32.4151,30.2765,91.4215,13.13,88.6263,35.8513,342.85,127.2043,19.4008,19.1318,36.7128,44.527
2023-06-16,279.0548,13.7767,15.633,122.5084,123.0414,125.9217,41.0088,30.2166,90.18,138.64,32.3862,30.2285,89.828,12.8,88.2091,35.6179,341.24,126.8789,19.4401,19.1906,36.2154,43.196
2023-06-20,282.3617,13.5365,15.0472,122.082,122.8331,126.2102,41.1738,29.6779,89.13,139.03,32.0107,29.835,88.2836,12.19,86.8185,35.1337,331.86,124.66,18.9983,18.7199,35.6817,43.47
2023-06-21,279.6903,13.3907,15.1144,119.5531,120.2643,127.6047,39.8053,29.6945,88.65,140.46,31.953,29.7775,87.1917,12.37,87.6065,35.1164,328.78,122.8455,19.1456,18.8964,35.7722,42.445
2023-06-22,282.9079,13.365,14.932,122.1316,122.8529,129.2012,39.8538,29.711,88.8,141.18,31.6738,29.5759,87.0442,12.09,88.2091,35.0819,325.91,123.7133,18.7332,18.4748,35.2476,42.248
2023-06-23,286.7312,13.2535,14.7495,121.3283,122.0099,127.7201,40.0285,29.4293,87.76,141.85,31.4523,29.3936,86.6606,11.79,86.3828,34.6583,326.28,123.5161,18.6546,18.3963,34.8044,42.402
2023-06-26,276.5423,13.4079,14.9512,117.3614,118.1122,129.6917,40.3391,29.9265,87.3,143.51,32.0011,29.8158,87.2508,11.78,87.3655,35.0646,336.88,124.9164,18.8019,18.5728,35.2385,41.594
2023-06-27,285.0629,13.588,15.2489,117.3514,118.0328,130.9612,40.7662,30.2912,88.07,146.34,33.0793,30.8522,87.6049,12.27,89.6924,35.8599,353.84,129.5612,19.1259,18.8572,35.5008,41.708
2023-06-28,283.3151,13.5365,15.1144,119.1862,120.0858,131.0574,40.7177,30.5149,88.72,145.98,33.0505,30.7947,87.3786,12.45,89.4421,36.0242,359.39,128.8512,19.391,19.1514,35.13,42.984
2023-06-29,279.5811,13.7081,15.3545,118.1151,119.0246,131.6056,40.6497,30.6558,89.68,145.47,33.1275,30.8139,87.4967,12.42,87.2635,35.8513,362.68,128.6441,19.3812,19.1514,34.4516,42.824
2023-06-30,284.9934,13.6824,15.2777,118.7101,119.9767,133.5868,40.6206,30.8216,91.11,147.16,32.7328,30.6027,87.8213,12.54,88.2091,35.9204,367.37,127.9045,19.3616,19.122,34.8948,44.049
2023-07-03,284.04,13.8282,15.6714,118.9085,119.5701,134.0004,41.1738,30.8962,91.75,147.73,33.0408,30.9194,89.0213,13.01,88.5892,36.3557,368.2,129.0583,19.4107,19.171,35.2295,44.144
2023-07-05,292.3322,13.7853,15.5081,120.7432,121.6231,134.2216,39.8926,31.0619,92.72,145.04,32.9349,30.7371,88.3229,12.83,87.1522,36.112,367.65,128.0919,19.3517,19.122,34.5783,44.59
2023-07-06,289.9687,13.6137,15.8154,119.1167,119.9371,133.8369,39.9217,30.7718,91.64,142.88,32.7713,30.5644,87.2901,12.67,85.4279,35.8769,371.77,128.8907,19.3321,19.1122,34.4154,43.884
2023-07-07,288.5188,13.6312,15.6426,118.4919,119.1535,133.6541,40.97,30.2826,91.76,143.19,32.8098,30.6315,87.1917,12.54,86.2066,36.0684,371.94,127.4114,19.5481,19.3279,34.316,43.81
2023-07-10,292.0641,13.3343,15.5946,115.487,115.9104,133.0482,42.2124,29.6415,92.03,143.94,32.4439,30.334,86.6606,12.95,86.3364,36.4341,372.54,128.7329,19.4008,19.1906,34.4878,44.171
2023-07-11,296.2251,13.2994,16.1611,116.1713,116.7435,134.664,43.5422,29.515,92.88,150.75,32.4728,30.4204,88.0279,13.3,89.2381,36.5734,380.23,135.4289,19.715,19.5338,35.139,44.021
2023-07-12,307.1986,13.2033,15.8826,117.9465,118.6378,135.5007,45.2408,29.4053,91.75,149.92,32.4151,30.3436,88.6771,13.16,88.2462,36.8607,382.72,133.5946,19.9605,19.7692,34.9853,44.405
