Date,09F623,14BA06,164D72,16B183,2920D5,2B49F4,2D2D43,366A08,388E00,3FACA7,641F17,902670,940C3D,A43906,AA5C8E,CA212F,D0909F,D54E62,E15736,E21871,E70531,EAEBF3,FE89E0,HTA3J9,VERNOV,VISTRA
2023-05-11,54.4219,43.2943,40.8493,30.0036,197.3796,26.6018,103.1958,30.7312,22.4626,83.9291,100.9486,21.8221,25.7587,100.1833,14.4668,55.2741,128.7178,140.472,114.9461,25.768,95.4819,65.4946,92.3904,77.8389,,23.7831
2023-05-12,55.1928,43.5325,40.7845,29.9129,195.0743,26.7139,102.9896,32.2244,22.8683,83.7673,100.8209,21.7444,26.0412,100.0836,14.5535,55.4268,128.9703,140.8317,115.2523,26.0167,95.4729,65.6825,91.9649,78.5571,,23.6673
2023-05-15,50.195,43.7065,41.275,29.8766,196.9794,27.1714,103.6926,33.8525,23.5691,84.6659,103.0012,22.0164,26.2577,100.9175,14.4668,55.837,130.7671,141.3532,116.1166,25.8568,95.655,66.519,93.2386,78.9703,,23.9376
2023-05-16,49.0083,42.2591,40.0256,28.6884,191.6449,26.0322,100.7388,33.5346,22.8498,82.5722,100.0182,21.4311,25.8341,97.5547,14.1203,55.4745,126.3674,138.0352,112.425,25.457,93.3335,64.3856,91.1747,77.7208,,23.5032
2023-05-17,49.5454,43.7065,41.1824,29.5319,194.2931,27.022,104.4003,33.5346,22.7207,85.1781,102.2623,22.1529,25.8717,100.428,14.2503,56.2187,128.3876,140.0134,114.8741,25.7235,95.4274,65.269,93.6291,79.0883,,23.5032
2023-05-18,50.5675,44.2287,41.5063,29.668,194.3027,27.8903,104.7306,35.4902,23.4677,86.517,101.7605,22.4846,26.5308,101.5338,14.3109,55.5794,129.2811,139.8409,115.9186,25.9545,96.2923,65.457,93.657,80.082,,23.5901
2023-05-19,50.6887,45.0715,41.895,30.3029,199.0372,28.1705,104.0983,34.9025,23.6336,86.2535,101.5051,22.504,26.5213,103.8632,14.3109,56.4191,129.7085,140.9487,117.2512,25.9812,96.7384,65.9927,95.3862,80.9674,,23.6577
2023-05-22,50.3163,45.1814,42.5706,30.3573,201.0376,28.2171,104.4003,34.9796,23.8734,86.8168,103.8436,22.8553,26.7096,102.9206,14.3196,56.3332,129.252,138.4154,119.2591,25.9723,95.564,66.9513,96.4367,82.1775,,23.6577
2023-05-23,50.706,44.989,42.6261,30.7564,203.8763,28.5533,103.7303,34.5365,23.7627,86.8895,103.5766,23.0602,26.7379,102.839,14.3282,56.9439,128.1642,142.4196,119.6913,26.1056,96.8658,66.6881,97.0503,82.6792,,23.7059
2023-05-24,50.706,45.502,42.7835,31.1827,202.2664,28.7774,104.3154,35.2012,23.523,87.7253,105.685,23.4308,27.0392,102.6849,14.2936,56.6672,129.2811,142.801,120.9969,26.0079,97.9492,66.5753,96.6691,81.961,,23.5515
2023-05-25,49.8659,43.8531,41.7932,30.2031,197.7606,28.3105,103.3528,35.153,23.0769,86.4353,104.2027,22.7576,26.3613,100.0654,14.051,56.1137,125.3962,140.3403,117.9535,25.839,96.1921,65.2314,94.5402,81.4101,,23.426
2023-05-26,49.632,44.0363,41.1639,30.3029,198.075,28.1985,102.6828,34.7677,22.5285,86.2263,104.7919,22.6895,26.4371,99.8117,14.0424,56.2378,126.4548,139.9045,117.9445,25.5458,95.564,65.0247,94.6889,82.4923,,23.5997
2023-05-30,49.6926,43.0195,41.0066,29.2417,196.5222,27.7596,101.7202,33.785,21.8872,85.0271,102.8033,22.2796,26.3518,98.6243,13.9904,55.36,124.2113,139.0328,116.5939,25.377,94.7173,64.3668,94.0846,82.3447,,23.5322
2023-05-31,49.0776,42.2316,39.6369,28.8245,193.1138,26.7512,99.0024,33.496,21.6084,83.2282,98.5497,21.6164,25.8305,97.2466,13.9557,55.0165,123.0264,136.7628,114.4869,25.4658,93.024,63.9533,92.3182,82.6595,,23.1364
2023-06-01,49.2942,42.8546,41.6267,29.0603,194.4307,28.0117,99.9084,33.8139,21.3482,84.5365,97.5278,21.9188,27.1196,98.0261,14.0857,55.4554,125.3379,138.1611,115.3423,25.8657,94.0982,64.6582,92.532,87.4409,,23.7831
2023-06-02,50.8793,44.4577,43.2832,30.5478,199.1463,29.543,102.7772,35.2108,22.2125,88.1523,100.6028,22.6895,28.0391,101.4432,14.5101,56.9534,129.825,141.8839,118.2686,26.8609,96.2832,67.1862,95.1538,86.1226,,23.8604
2023-06-05,50.862,44.3111,42.7742,29.9945,196.4157,29.0948,102.5696,34.7195,22.0545,87.2347,98.872,22.3772,28.1244,101.1984,14.5188,56.6767,127.9117,141.2029,117.3412,26.7809,95.8553,66.6317,94.8934,86.093,,24.0341
2023-06-06,51.373,44.8425,43.6861,30.2394,196.9968,29.3107,102.8904,35.9911,22.4635,87.9615,100.6028,22.6113,28.9965,102.2498,14.5968,56.7149,128.4459,141.4572,117.9175,26.9675,96.6382,66.7821,94.7726,88.1,,23.87
2023-06-07,52.3431,45.8502,44.784,31.2008,200.2501,30.5496,107.6938,37.388,23.0862,91.8045,104.5157,23.7136,29.0439,105.3678,14.926,57.2873,133.1369,145.1255,120.8168,27.9005,98.805,68.3986,97.4408,89.3396,,24.2851
2023-06-08,52.5856,45.8227,44.1513,30.838,200.4632,30.1742,106.099,37.5421,22.8166,90.0693,103.5214,23.3626,28.7121,105.2772,15.0039,57.1438,133.0787,144.5897,120.0604,28.167,98.4954,67.9193,97.1898,90.8055,,23.9569
2023-06-09,51.8321,45.6853,44.2258,30.3029,198.3039,30.3525,106.6463,37.1375,22.8352,89.724,104.3961,22.9722,28.4467,105.3678,14.7527,56.7706,132.4668,144.2447,119.106,27.3919,97.7671,66.5471,96.5855,91.7794,,23.9569
2023-06-12,51.7974,45.2547,43.7512,29.9854,195.2538,29.78,106.0423,36.9063,22.7423,87.9252,104.1106,22.6797,28.2381,103.2559,14.6314,56.6461,130.8837,142.8555,116.819,27.5451,96.884,65.9175,95.5907,92.232,,23.8411
2023-06-13,52.2132,46.1616,44.6259,30.575,195.5152,30.6904,106.165,37.5132,23.0025,88.0161,104.1106,22.7675,28.5984,102.1683,14.7527,56.2442,132.6319,143.9269,117.1071,27.473,96.9022,66.6505,96.1392,92.7239,,24.0341
2023-06-14,52.3431,45.0212,43.9838,30.5205,194.8955,30.0803,105.3534,37.0412,22.5471,86.944,102.9598,22.2506,28.3803,100.3102,14.6401,55.9571,130.5955,142.6376,114.1538,27.2206,95.7369,66.6975,95.4513,91.6909,,23.9472
2023-06-15,52.9321,45.619,44.57,31.4457,196.8417,30.6998,107.4201,37.5229,23.3092,88.1432,104.9853,22.7187,28.6647,101.2438,14.7354,55.9092,132.3298,143.7181,114.0457,27.5541,96.4015,67.5809,96.8272,91.9467,,24.4491
2023-06-16,52.7935,45.8029,44.4584,31.1827,200.2404,30.5777,106.9105,38.1876,23.43,88.2432,105.151,22.9234,28.9775,102.7937,14.7614,55.6508,132.0863,142.7919,115.9186,27.5181,95.7096,67.4681,97.5431,91.3859,,24.1885
