Date,1151F4,147C38,2BAE5F,2CB4C9,342218,343996,58B46F,5A9A82,652E62,6DBBBC,6E7060,6ED519,789A7D,7AC86E,7B1E50,7BAAE7,977A1E,97AAF6,9C8BC3,AFD7DD,B2E6B5,B303A6,B560AF,B642E8,D9B1C9,DB5CA5,E10D31,F93C8A,FD39EB
2023-05-10,62.9782,68.0048,67.2028,70.4292,71.7035,85.7346,28.3107,26.1588,17.1627,141.2923,48.8231,26.399,82.3561,103.6042,35.2294,57.0645,48.5809,89.6807,20.084,55.5592,112.0248,37.9857,58.5361,71.1979,83.3194,88.1477,64.6739,50.1846,30.3119
2023-05-11,62.3602,67.097,66.5655,69.7056,71.6146,84.9739,27.9648,25.8223,17.1429,140.9903,48.2378,25.7319,81.4757,102.777,35.0691,56.7785,47.8136,89.2747,19.5429,54.9518,110.8887,37.5962,57.8973,70.2324,82.3746,87.4291,63.8196,49.6751,29.2654
2023-05-12,62.6056,66.5526,67.2901,71.4093,71.8368,85.0282,28.0957,25.8769,17.2417,141.3206,48.6144,26.0335,80.4485,103.1315,35.1314,56.9353,47.5809,89.7799,19.6138,54.899,111.8746,37.266,58.2349,70.1454,83.2649,87.5369,64.2293,50.0663,30.9154
2023-05-15,61.715,65.7088,67.0806,71.0246,71.2501,83.5974,27.5908,25.5949,16.8663,139.2353,47.843,25.6223,78.009,102.4952,34.5527,56.0313,47.2188,88.8417,19.5074,54.3181,110.4098,36.3823,57.085,68.8824,81.8387,86.5308,62.974,49.1292,31.8488
2023-05-16,60.5154,64.3297,65.0552,69.4675,69.8989,81.596,27.0578,25.0765,16.6588,136.5366,46.7359,25.1654,76.5967,100.2316,33.9562,54.7583,45.5549,87.7775,18.4961,53.0858,108.9075,35.1416,56.364,66.5807,80.0218,84.4468,61.2828,48.4651,31.5942
2023-05-17,60.0156,64.366,65.2755,69.0095,69.8011,80.8443,27.0296,25.1037,16.5995,135.5081,46.3366,25.0649,76.4224,99.1772,34.1254,54.2694,45.8825,87.2317,18.5848,52.8481,109.6493,35.0434,56.1541,67.1802,79.0953,83.5575,60.7947,48.0011,31.4999
2023-05-18,59.8611,64.4658,64.8614,68.7896,69.5255,80.9077,26.7661,24.7581,16.3624,133.7342,46.0553,25.0009,76.4499,98.9953,33.8138,54.1863,45.4169,86.7405,18.505,52.6792,109.0202,35.1595,56.0446,67.3174,78.7046,83.3689,60.0188,47.8919,31.547
2023-05-19,59.9156,64.7924,64.465,68.2217,68.9122,81.4329,26.9073,24.6126,16.4118,133.47,45.6242,25.0009,77.1469,98.6863,33.6179,54.0849,44.9341,86.5859,18.4606,52.7147,110.1447,35.5879,56.1998,66.7271,78.632,83.0994,59.4871,47.8646,31.5753
2023-05-22,59.8701,64.375,64.0949,68.3133,69.0633,81.3967,26.8696,24.5853,16.3129,135.4704,45.5652,25.0283,76.6884,99.0044,33.7337,54.3339,44.9686,86.0947,18.7711,52.528,109.9651,35.811,56.793,66.8461,78.4957,82.6143,58.9989,47.8464,32.0845
2023-05-23,59.6066,64.5565,64.0949,67.9286,69.0277,80.473,27.1614,24.3579,16.2141,135.4043,45.5062,25.0009,75.8538,99.2317,33.7426,54.0849,45.0807,85.3943,18.4162,52.2434,109.9935,36.0967,55.9534,67.0383,78.1233,81.5184,58.7287,47.7099,31.877
2023-05-24,59.1886,64.2843,63.2579,68.0019,68.6099,79.7666,26.9355,24.0487,16.2734,135.0929,44.9073,24.9004,75.3219,98.6135,33.5823,53.5591,44.2358,85.0486,17.9727,51.7543,110.0029,35.8378,55.4879,66.6814,77.3693,80.9884,58.04,47.2641,32.0467
2023-05-25,58.4252,63.3498,62.4298,67.2233,67.9076,78.5259,26.5967,23.6485,16.2339,134.4135,44.1132,24.6811,74.2397,97.2591,32.9591,52.7288,43.4771,84.7939,17.6977,51.0252,108.5194,35.2666,54.6027,65.7021,74.9438,79.8476,57.238,46.4544,31.547
2023-05-26,58.4525,63.0322,60.5179,68.1452,68.2721,78.698,26.672,23.6575,16.3228,135.3666,43.9227,24.5349,74.0746,96.8227,32.6831,52.6735,42.9857,84.3118,17.6267,51.0963,107.4421,35.1595,54.3654,65.8257,74.7167,79.677,57.2118,46.3725,31.9996
2023-05-30,58.298,63.3588,59.8395,67.0113,68.1032,78.3176,26.5214,23.7303,16.7675,135.1212,43.8909,24.3064,73.4969,96.7591,32.9413,52.489,42.8823,84.1936,17.6533,50.705,108.1319,35.1818,54.2741,65.7845,74.2898,79.0571,57.8003,46.4089,32.1033
2023-05-31,59.334,63.2862,60.9937,67.7211,68.6988,79.1055,26.5496,23.8304,16.7378,136.3007,44.5579,24.5714,74.3498,97.8136,33.2885,53.4853,43.3478,84.8667,17.5114,51.4431,108.9351,35.3915,54.5297,65.6792,75.507,80.2069,58.8594,46.8183,31.8582
2023-06-01,57.7527,62.7691,60.6413,67.2602,67.6232,78.055,26.7096,23.7394,16.3624,135.4704,44.1858,24.3704,73.6986,97.5045,33.1015,52.9871,42.8323,83.5205,17.6356,50.8651,105.9018,35.2398,54.6665,65.9767,74.5078,79.156,58.1272,46.3179,30.5477
2023-06-02,57.3801,63.014,61.6809,68.0807,68.7699,78.861,26.9167,24.1214,16.4513,137.5651,45.1205,24.4526,74.4415,98.9772,33.5645,53.8358,43.5663,83.4659,17.9106,51.3364,108.217,35.4272,55.7069,66.1551,75.8068,80.5573,58.1272,47.2914,31.3962
2023-06-05,58.1162,63.2318,62.1214,67.841,69.1255,79.4678,27.0578,24.2215,16.6291,137.6783,45.2657,24.4618,75.1476,99.4226,33.9562,54.417,44.1255,84.5483,17.813,51.7632,108.2926,35.6861,55.999,66.3565,76.3064,80.9884,58.2318,47.5644,31.2265
2023-06-06,57.7618,62.9415,61.6721,67.6474,70.6101,79.2685,26.879,24.1851,16.7378,136.6215,44.9073,24.6354,74.79,99.6226,33.6446,54.6937,45.1041,84.0572,17.8574,52.11,108.8312,35.4808,56.1906,66.3839,75.7977,80.6201,58.1533,47.5917,31.0568
2023-06-07,58.4434,63.631,63.1963,68.3757,71.5613,81.0345,27.2649,24.558,16.9453,138.7823,45.9691,25.0374,76.6609,101.1316,34.2767,55.7269,46.3536,85.085,18.3453,53.0793,110.6928,36.0074,57.2402,67.8208,76.8333,82.255,59.8881,48.5833,32.1222
2023-06-08,58.2889,64.493,63.0729,69.0486,72.2102,81.8405,27.4249,24.6314,16.7971,138.8201,46.0553,24.9735,76.8443,101.7861,34.6774,56.2527,46.5633,85.5034,18.1058,53.1505,111.0329,35.82,57.231,68.2235,76.9242,82.6413,59.7747,48.647,32.009
2023-06-09,57.6618,64.6563,61.9981,68.2835,71.8191,81.442,27.2461,24.6131,16.6785,138.386,46.028,24.7542,76.4499,101.2952,34.3747,55.9852,46.3885,85.0395,17.8219,52.8214,110.8723,35.7753,57.1665,67.5874,76.0158,82.2101,59.0338,48.4287,32.1316
2023-06-12,57.7709,64.2752,61.8747,68.2005,72.0591,81.3333,27.4061,24.6039,16.7378,137.7916,45.96,24.7816,76.6058,101.0498,34.4993,55.4317,45.873,84.2573,17.9993,52.9015,111.0329,35.6236,57.056,67.3449,76.0248,82.0933,58.9727,48.456,32.3202
2023-06-13,57.371,63.9214,61.7249,68.5416,72.4502,81.759,27.472,24.6865,16.7576,138.103,45.7376,24.7176,76.2639,102.1316,34.4993,55.321,45.7682,83.7115,18.4783,52.6881,111.0991,35.5254,57.0744,67.0886,75.5161,81.5274,59.1732,48.2922,32.3862
2023-06-14,57.2611,63.9486,61.584,67.6658,72.9125,81.9854,27.3214,24.6498,17.0342,137.8671,45.9645,24.8181,76.5504,102.677,34.5616,55.7361,45.9254,84.039,18.3985,52.3946,110.6266,35.811,57.0375,67.3998,75.9522,81.6082,59.426,48.3377,32.3767
2023-06-15,58.9379,64.2026,62.5619,68.5508,74.2726,82.9363,27.5472,24.7874,17.0441,139.7354,46.3684,24.9826,77.5946,104.428,34.8198,56.2896,46.1963,84.612,19.0638,53.0082,111.0235,36.4359,57.3415,67.9947,77.1058,82.3628,59.9752,48.9018,32.405
2023-06-16,58.5714,65.11,63.5046,69.6847,74.0059,82.8004,27.4625,24.7691,17.1923,140.5751,46.2867,25.0192,77.6963,104.6205,34.7842,56.0313,46.5983,84.5665,18.9308,52.7414,110.5605,36.784,57.5994,67.8162,77.1513,82.8029,61.1782,48.8927,32.1693
2023-06-20,57.7925,63.8216,62.2359,68.9196,73.4547,81.5235,27.3684,24.5029,16.6687,139.7542,45.1614,24.873,76.5874,103.7679,34.9801,55.4686,46.4584,83.7024,18.638,52.3324,109.5305,36.3645,57.1204,67.4639,76.797,81.6981,59.9491,48.183,31.6036
2023-06-21,57.5543,65.0011,62.7558,69.8599,73.8903,82.1303,27.6978,24.6773,17.0738,140.2543,45.6424,25.1288,76.8831,104.1621,35.1225,55.6715,46.5633,84.5211,18.6114,52.4746,111.1085,36.5162,57.6362,67.9535,77.6236,82.3269,60.7859,48.4651,31.943
2023-06-22,57.5085,64.6926,62.3329,69.2607,73.4903,80.8534,27.3967,24.5213,17.0836,140.1222,45.0026,24.809,76.0422,103.5387,34.9178,54.9889,46.3099,83.7934,18.5493,51.8433,109.5683,36.1859,57.2033,67.0475,77.3057,81.6532,60.228,47.9738,32.9236
2023-06-23,56.9037,63.9214,61.4342,68.3757,71.8368,79.6036,26.7943,24.2093,16.6884,137.5368,44.0724,24.4161,74.693,100.8435,34.2678,54.048,45.2789,82.5381,18.1235,50.9629,108.1225,35.5879,56.6415,65.7799,75.8432,80.5932,59.0686,47.155,32.7067
2023-06-26,57.6001,65.0828,62.3945,68.4863,72.8502,80.5273,27.2178,24.3469,16.6588,132.3188,44.8982,24.9004,75.7557,101.3018,34.5171,54.9704,46.1264,83.3931,18.3719,52.0745,109.9462,36.2127,57.2402,66.8324,76.1066,81.5993,59.9752,48.1921,33.857
2023-06-27,57.2152,64.5293,62.8262,68.136,72.8947,80.3281,27.4908,24.4387,16.7378,134.8193,44.8302,25.074,76.3194,101.4577,34.5972,55.0166,45.8818,83.666,18.5493,52.2168,110.74,36.4359,57.7651,66.9331,75.7977,81.3118,60.4983,48.0557,34.4981
