Date,03B8CF,119CB6,131443,13C3E0,15ABD0,1921DD,24C48B,253B2F,2667B6,2D643C,2E0496,304C94,322A44,32BBAA,32CB22,353DBB,35F4B5,3F4497,4030E2,416C55,431B74,55438C,567F3D,5A6336,5E6959,5F2FF7,616E3B,636639,6844D2,6B5379,6E705B,6EB9DA,72DF04,767F86,8B4A45,92D3A0,945DE6,96F126,9A3FF4,9D30A8,9F18FA,A1EAC8,A4D173,ACF77B,AD23DE,B2256A,B4703C,BFAEB4,C20B75,C4073B,C659EB,CBA33B,CE1002,D21EF3,D56D6D,D8F347,D90F43,D96202,DCD97F,E0339F,E26FC3,E866D2,E8B21D,E94704,EC821B,ED0402,EE6F1C,EEEA9F,F46EC9,F5C8AB,FAE021,FC1B7B,FF6644
2023-04-14,79.5159,166.4919,218.8477,12.79,111.4018,75.0593,138.8359,165.3988,96.0368,193.9995,188.6132,101.73,51.1112,42.6835,366.4754,216.9061,135.9029,46.0711,81.5524,263.4152,373.0351,201.71,49.9742,169.1823,432.6203,32.759,158.5103,141.8866,216.5427,308.3472,41.67,634.1095,171.6146,213.5488,38.56,24.7347,98.1406,450.1776,98.697,439.92,642.6528,197.193,65.798,66.1373,191.1702,94.36,63.2857,111.6907,78.0054,155.7626,88.8864,37.3154,71.1933,93.77,210.3488,185.3701,31.48,133.0197,215.1777,68.4018,29.1834,29.779,210.774,221.7441,42.1659,69.22,188.481,55.5348,100.7413,107.7227,164.6869,449.6465,173.7673
2023-04-17,80.2752,167.5489,219.7002,13.1,112.0895,76.1053,139.6678,166.2257,97.3874,195.9807,188.918,104.18,51.2271,43.1363,371.778,218.2939,136.7575,46.7815,81.7602,263.9282,376.5464,205.03,50.0932,170.6326,435.5804,33.5544,158.6062,143.0158,215.2473,314.4347,42.38,643.566,171.4981,215.0381,38.71,24.8601,98.4752,451.6997,100.3205,438.11,644.8838,198.5361,66.5492,66.6285,192.3243,94.3,63.71,112.5115,79.0805,156.9562,89.0725,37.4789,71.3995,94.4055,211.1309,186.78,32.08,134.2785,216.8504,69.04,29.1738,30.3808,212.0606,222.3541,42.493,69.69,190.3516,55.9137,100.9439,107.2211,165.0455,451.7588,174.9254
2023-04-18,79.8918,168.8172,221.0492,13.29,111.9152,77.4423,139.4575,167.1621,98.8514,195.962,189.8716,103.86,51.0533,43.1749,375.4228,220.6569,136.7869,47.4162,82.4118,262.9972,381.6162,208.37,49.9816,170.2555,434.4003,34.3014,158.5871,143.1123,215.1535,313.7487,43.04,648.9419,169.8186,215.0,38.855,25.004,99.1443,462.5577,100.2052,436.09,651.7135,199.1466,66.095,66.4648,190.5247,96.72,64.6246,112.0,78.9941,157.5626,89.212,37.7001,72.5559,94.3201,211.015,186.2478,31.73,133.2811,217.323,69.1497,29.1354,30.1457,211.7533,223.8697,42.9786,69.86,192.1658,56.153,100.5002,107.6359,165.7542,456.2118,174.1032
2023-04-19,79.7489,170.1003,219.6346,13.63,111.3921,77.8827,137.9656,165.3888,98.313,196.1022,189.557,103.36,50.9857,43.3387,366.9795,218.6408,135.1366,47.6151,81.5619,260.5844,377.8451,208.71,49.498,170.5939,435.7181,34.8543,158.3186,142.3981,215.4163,312.5215,46.27,648.0556,173.2068,214.4749,39.04,25.0783,98.5244,456.792,100.0803,427.64,650.1835,198.2074,65.9989,66.3101,190.6323,94.47,64.0023,110.6484,79.1957,157.2834,89.2864,37.6521,71.9822,93.0965,209.7889,188.61,32.04,133.1843,216.2267,68.7209,29.2792,30.5124,209.1514,221.587,42.8993,69.69,191.3292,55.4451,100.0661,107.8867,167.3851,453.9282,174.8812
2023-04-20,78.734,170.5329,219.6627,13.32,111.8958,78.4568,136.3782,166.664,97.1324,197.9525,191.2676,103.39,51.3929,43.7241,363.9841,220.9757,135.5296,48.3065,81.0897,260.1189,375.5267,207.23,49.3343,170.6036,435.846,33.6029,158.8939,142.0893,215.3131,308.5598,44.89,649.7502,175.2844,212.2027,39.04,25.3523,98.9869,452.5853,100.0899,426.2,652.2008,198.8367,65.2214,66.01,197.7916,94.73,64.8414,111.7589,79.4357,156.8599,90.3187,38.3734,71.5608,93.1345,211.1695,189.1703,31.5,133.9493,215.017,68.5613,29.5187,30.2867,208.5657,239.257,42.8201,69.01,190.6994,55.1958,100.3266,107.7806,166.4885,451.1784,173.9441
2023-04-21,78.5461,171.4965,218.1638,13.4,111.15,78.2602,137.411,165.1796,96.5751,197.7563,193.4598,102.78,51.8292,43.5699,361.2505,221.4726,135.1465,48.1076,80.8347,261.6578,372.0058,205.15,49.6914,171.0677,438.0292,33.3022,158.3665,142.5333,216.308,309.9802,44.45,652.6134,171.2748,211.4348,39.195,25.4498,98.8393,445.1591,98.9372,427.79,653.4573,196.0284,64.0333,66.5284,198.3198,93.87,64.8508,111.9976,79.4165,156.7829,90.5792,38.1137,71.7132,92.6982,211.2854,185.6689,30.83,134.2204,212.6544,67.7436,30.4863,30.2303,209.0746,243.0646,42.5524,70.0,189.9098,55.1759,100.6159,107.3079,166.6849,449.0947,173.3518
2023-04-24,78.9821,174.2445,220.0656,13.32,110.9175,78.7635,138.3673,167.6403,96.7735,198.0366,192.4866,104.7,52.3333,40.4,371.8652,222.8792,135.284,48.3349,80.8253,262.2563,373.2949,205.77,49.751,171.8412,440.3402,33.0985,158.8651,143.4212,217.9226,312.0673,43.93,657.6874,171.2748,214.468,39.275,25.5008,99.8627,443.6554,99.0813,425.99,654.124,196.5919,63.649,67.0923,196.5201,93.72,64.9828,111.5324,79.7237,157.6588,91.6766,38.383,71.5788,92.6697,210.793,187.0041,30.68,134.6949,212.163,67.8134,30.0648,30.2397,209.5451,239.4696,42.8894,70.26,190.0132,55.2058,100.8378,108.6102,167.2314,448.0766,173.9706
2023-04-25,78.4634,166.836,218.7072,12.84,110.162,77.4187,135.0202,166.5943,95.4795,193.5602,189.4489,102.1,51.6935,40.7757,366.078,220.3849,133.5158,47.5866,79.8149,261.1639,365.0505,202.19,48.5978,172.9144,430.1126,32.1187,158.7692,140.3906,211.6428,306.4146,42.49,654.2885,167.5177,209.8605,38.765,24.8461,99.1738,438.7292,97.9381,416.08,644.5077,193.8399,62.6356,68.0291,193.6838,92.39,64.6528,108.8681,79.3397,157.6492,89.1562,38.2002,69.6156,91.1331,206.7573,181.8406,29.59,134.4819,210.4997,67.0156,29.6049,29.4217,206.7799,238.2959,42.6119,68.5,187.3624,54.2786,99.2752,105.7934,150.5296,442.8909,173.2457
2023-04-26,77.3733,150.1952,213.433,12.74,109.1255,75.6649,133.8248,163.4561,92.2588,187.8596,187.001,93.04,50.8209,39.1667,363.5285,216.953,131.3744,48.1644,77.8884,257.0792,360.3752,203.03,46.9163,171.8025,423.9071,31.7695,156.8898,135.9027,209.1084,301.1388,42.095,642.5921,160.7898,207.5184,38.555,24.5143,94.9719,425.8509,103.2601,404.92,635.0367,187.7161,61.7009,66.4829,194.2804,90.34,63.644,107.0683,78.6005,155.8588,86.0311,37.8155,69.2571,90.2984,203.5905,178.8061,29.68,132.9035,203.0244,65.3801,28.8768,29.055,201.4129,234.858,42.037,71.92,182.8691,53.2516,97.4039,102.9573,147.3532,427.3055,168.7722
2023-04-27,79.1851,153.9756,216.2996,12.88,111.8861,77.1198,137.2388,168.3377,93.8739,187.7101,188.8492,99.6,55.775,39.9471,346.7097,225.5703,134.9402,50.0967,78.2189,269.4187,357.7201,206.04,47.3181,179.3537,445.4737,32.3321,154.9911,139.5413,212.084,312.3959,42.83,678.178,165.11,205.733,38.88,25.2107,96.1823,428.969,107.0546,410.99,648.9013,189.1438,63.8848,67.0013,201.205,92.1,64.932,109.7935,82.4403,161.6824,92.709,40.0083,73.8198,91.9488,208.6206,180.7108,29.7,133.3295,203.8371,65.3801,29.1163,28.0959,199.5407,239.7284,43.3454,77.17,186.1215,56.831,100.1529,107.6552,151.7848,435.4788,175.5885
2023-04-28,79.8542,157.5054,220.1873,13.64,111.8377,77.8355,139.0558,169.0052,94.3556,189.738,190.8252,102.22,56.3083,40.294,350.0541,226.8644,135.4903,50.6839,78.625,269.2193,363.6556,206.78,46.9387,179.6534,447.2439,33.2828,159.2295,141.0662,213.8112,313.9226,43.8,677.4087,170.1778,210.0237,39.525,25.164,96.1134,428.4616,106.1324,414.4,653.9103,189.4067,63.7713,67.929,203.8066,94.77,64.6763,110.9991,81.8836,160.8642,93.8158,40.6334,77.3965,93.1155,208.8427,182.7277,31.05,140.0401,206.3415,66.7563,29.3558,28.4814,198.0909,239.7376,43.9005,76.95,183.4425,56.8509,100.1626,109.816,153.5352,438.8947,176.6759
2023-05-01,79.576,156.2026,219.7564,13.89,112.7191,79.5736,137.8796,168.5768,94.7617,194.9527,189.3112,102.52,55.8526,39.6677,350.5678,230.4932,136.8753,50.5419,78.71,268.4973,367.5998,203.87,47.5264,181.4808,451.0301,33.6805,159.9391,141.3075,216.4395,316.3286,44.41,677.7885,171.3234,208.5551,39.2,25.5098,96.6251,433.0557,106.3245,416.76,657.4919,189.8764,63.911,68.02,200.8822,93.85,66.4284,112.5943,82.5075,162.462,97.1361,39.6909,77.7909,93.2578,210.0206,185.4634,32.74,140.3887,206.1431,66.866,29.9881,28.7635,198.5901,242.5471,43.9104,76.11,183.0289,56.9506,100.7992,112.353,155.576,440.2743,177.2418
2023-05-02,77.4184,155.1358,213.255,13.77,110.8303,79.8331,146.5628,167.4909,93.3827,190.5417,185.782,102.8,56.0853,40.294,344.5383,219.7848,143.0246,50.5135,77.6429,265.0491,369.216,203.25,47.5115,182.3123,453.0855,33.4962,159.8624,139.6957,214.3932,314.0579,44.53,670.8252,170.1875,206.5201,39.36,25.4023,95.1392,423.3324,105.2966,413.0,659.8084,184.7763,61.9979,65.8736,194.9552,95.2,66.0874,111.7565,82.8051,166.7647,97.0989,40.2103,76.6346,92.167,210.3971,183.0731,36.52,140.3693,201.3044,67.2051,29.7678,28.1711,198.4845,242.2051,44.5646,74.75,178.1973,56.9307,100.8185,109.2372,151.8531,427.0391,175.2791
2023-05-03,77.3057,157.643,210.2666,13.79,111.644,80.0376,148.3033,167.5905,91.7676,189.6913,200.5183,114.74,55.9011,39.5906,339.5072,217.7313,142.0227,50.9207,79.1538,264.6786,367.696,200.93,47.6157,171.8508,448.8567,33.1082,160.4474,139.3676,214.5058,312.3186,44.48,665.7609,169.838,206.9905,39.45,25.2761,96.1724,417.9634,104.6722,411.06,657.5175,184.8796,60.1896,65.146,195.6105,107.46,65.7844,111.5446,82.1139,165.9273,97.7174,40.0564,77.5758,94.9272,208.1089,182.3822,37.84,141.4054,198.4693,66.4671,29.6337,28.9515,201.7201,242.4731,44.3069,73.7,175.4995,56.4621,100.4616,113.636,150.1368,422.1865,175.0139
2023-05-04,76.5614,153.4988,207.4561,13.51,111.6827,78.1108,146.3715,164.7313,90.5964,191.8551,202.278,109.03,55.3775,39.7794,318.3262,213.0334,140.392,49.9451,78.1339,265.2201,359.3939,197.05,47.4223,170.1685,445.9655,32.0896,160.9172,137.0029,212.4876,311.4199,42.92,650.0716,169.8671,201.9414,39.115,25.2481,95.8674,416.9117,102.8182,408.57,649.6279,181.0193,58.8967,64.5912,192.9111,106.79,65.5287,111.5251,81.8836,162.1348,95.555,40.2391,77.2531,96.3499,208.6882,183.9975,37.49,141.1924,197.373,65.1806,29.9977,27.5411,199.2142,239.063,42.9279,74.34,174.5877,56.9207,102.5644,112.8257,147.968,420.7783,173.4755
