Date,013528,063384,14C7B2,14ED2B,1D1B07,2B7A40,2BA977,2E61CC,2F98A5,3DE4D1,543900,5CC29D,713810,719477,789ADD,78F9ED,7A10FF,859D62,95DC1F,9AF3DC,9CA619,9D2790,9D56F2,9F03CF,AD1ACF,B8EF97,C356AC,C4A432,CA1620,D09938,E61E5B,EB6965,FA40E2,FACF19,KENVUE
2023-04-26,170.3448,85.4045,32.8203,228.2457,212.5788,70.8725,37.5501,144.0744,136.8663,127.8724,49.6478,103.7068,48.6861,149.7775,88.8126,53.6263,67.0542,61.2882,44.7658,58.4019,78.5725,68.5269,79.5972,242.3523,54.3739,474.9544,33.6413,35.8848,86.6554,54.26,60.3522,72.3165,32.6826,30.3985,
2023-04-27,171.3838,86.0169,31.0082,232.8231,215.5208,71.7741,37.9522,145.836,137.6718,130.3388,50.0483,104.9767,48.8378,152.2976,93.929,53.59,68.4355,62.5139,45.2526,59.11,79.3861,69.5552,81.8639,253.0742,55.2118,481.3011,33.9148,36.3982,87.2025,55.28,60.7953,73.4954,33.04,30.6517,
2023-04-28,172.468,86.8614,30.2316,233.8182,216.3789,71.8385,38.2096,145.7521,138.1819,129.0121,49.4293,105.1742,48.7055,151.7753,93.7552,53.9437,71.124,62.332,45.5241,59.5195,79.2431,71.093,82.2854,252.8242,56.302,483.1734,33.5644,36.4253,88.2173,56.0,60.7859,75.259,33.0923,30.7827,
2023-05-01,173.1818,85.8777,30.1114,233.9604,217.0955,71.5809,38.4267,145.9292,140.5354,129.8669,49.7297,105.5317,48.9055,153.1499,93.3112,54.8235,71.5875,62.5235,46.1326,60.3896,79.9047,71.1672,82.8099,255.8704,56.1578,473.9271,33.9832,36.5964,87.6702,56.84,61.0593,76.0983,33.319,30.2238,
2023-05-02,173.6968,84.5878,30.0837,232.3967,215.5208,69.4832,37.9442,145.7987,142.0299,129.8936,49.6569,104.8074,48.7733,153.6997,93.6587,59.0225,71.9398,61.8723,46.2823,60.7223,79.5739,70.2222,82.6413,253.9723,54.9055,475.0985,33.7182,36.2181,85.517,57.54,61.5307,76.2492,33.5195,29.2545,
2023-05-03,173.6335,84.2537,30.3148,192.1002,213.4666,69.0231,37.4214,145.6123,140.5802,129.6265,49.6569,104.9391,48.5926,160.9302,94.0545,58.9137,71.4021,61.5946,45.8143,61.0209,79.4219,69.7775,82.351,253.889,54.5631,470.5377,34.402,36.5964,84.5905,58.36,61.7099,76.6359,33.2057,27.9096,
2023-05-04,174.7177,82.9174,30.0375,190.4891,210.5415,68.2871,37.0997,144.9412,140.8755,128.5847,49.4567,104.8259,48.7286,156.7422,94.2765,58.959,71.6524,61.5946,45.1964,60.0399,79.9315,69.9906,82.6788,254.2871,54.1757,471.7885,34.9063,36.8486,83.2845,57.82,62.2285,76.1926,32.7959,27.5518,24.0693
2023-05-05,175.5218,84.031,30.7216,192.8963,211.5165,69.888,37.5501,145.4259,141.5735,129.2703,49.8299,105.7029,49.1496,155.4226,94.151,58.8502,71.9027,61.9298,46.0857,60.0143,80.2981,71.1208,83.3157,254.926,54.6802,480.1786,35.3165,37.1098,84.3257,59.71,61.8513,76.004,32.9703,28.093,23.7114
2023-05-08,174.6906,83.7155,30.3703,195.2371,216.0225,69.3728,37.4857,144.7455,140.5981,128.8785,49.575,105.7689,49.4572,153.2324,93.2629,58.4693,72.4126,61.8915,46.0109,60.6797,80.3517,70.4816,82.6975,254.4075,45.7065,480.1786,35.1114,36.6054,84.3257,59.04,61.559,76.1549,32.9005,27.6475,23.7203
2023-05-09,175.4044,82.871,30.2409,190.7355,213.4287,69.0231,37.349,143.2635,140.7323,128.1484,49.7024,105.7878,49.5414,154.0755,92.6161,58.5146,72.2086,61.0966,46.0202,60.1081,80.1014,70.389,82.8474,253.7686,43.9856,481.8431,34.9405,36.1731,84.4052,58.69,62.1342,76.0512,32.9616,27.4554,23.5145
