Date,188394,20BEEA,263A36,370C50,39FB23,3FB145,408089,485445,523A06,57B174,61E975,662682,8E0E32,911AB8,93F9E0,986AF6,9A602D,9C5BA5,9D6A24,B6082A,BB992A,C87ECC,D4070C,D4463B,D6534D,DA48E4,DF8855,FEE4B0
2023-05-11,97.6084,93.1361,354.2088,97.8662,128.9538,55.0805,224.1011,79.8912,43.4883,190.4839,62.6214,163.8381,27.7197,42.7736,25.2889,132.0785,169.2814,33.0024,26.2949,122.7444,190.2698,72.4087,70.7873,33.2526,393.6762,259.4599,9.2096,55.3307
2023-05-12,97.6797,93.3377,357.3838,97.4408,129.7619,55.2647,221.4237,77.8322,43.4633,191.0216,62.3869,164.6368,27.7809,42.8295,25.2533,133.5865,169.2522,32.4516,26.2854,122.8186,187.6532,72.8084,70.6885,33.6858,395.6417,260.8203,9.1562,54.4681
2023-05-15,98.1967,94.1251,355.9072,101.7236,132.1391,56.1176,220.6156,78.9553,43.4218,191.794,63.0996,164.7699,27.8334,43.9016,25.9859,134.9312,168.8247,33.5991,26.5234,120.9821,195.2824,73.4936,71.9998,34.7833,397.5975,262.0306,9.2096,54.8267
2023-05-16,96.5387,91.6861,353.1086,99.4034,130.9176,55.2162,216.3513,75.9229,42.4247,190.6599,60.8866,159.9206,27.536,42.065,25.7404,131.3774,167.6684,32.369,25.5904,117.7915,197.1226,71.9519,70.7873,33.9361,395.5435,258.5592,9.0851,54.032
2023-05-17,96.2891,92.8096,352.2497,102.1973,133.8116,54.2373,221.6184,76.9992,42.7737,192.1264,60.127,161.8793,28.0783,41.7201,25.978,134.1244,169.5049,32.3414,26.1235,119.6094,199.3462,72.7268,72.7543,34.4849,400.3591,259.1315,9.1118,53.6831
2023-05-18,96.6902,93.9235,355.3186,103.9375,133.962,54.4602,227.3292,78.7775,43.0977,192.0286,61.618,162.6115,28.0171,40.3403,26.4888,134.7391,169.9907,32.8555,26.2663,119.8599,201.4069,73.4446,74.892,34.3501,400.8014,258.4279,9.0851,53.3633
2023-05-19,97.0824,93.2033,358.5032,103.8118,133.8022,55.2162,227.2316,78.3189,43.1642,192.8206,62.0962,162.4023,27.9558,40.7039,26.4334,133.1927,170.3016,32.828,26.4472,120.0639,195.6658,74.138,74.0567,34.3982,401.3714,261.674,9.094,52.9174
2023-05-22,96.1197,93.3281,353.5815,104.8946,132.1861,55.1096,225.1523,78.0568,43.0147,192.8597,62.8652,162.3738,27.7547,40.3962,26.5641,134.4318,168.0862,33.0299,26.6757,119.7115,197.9182,73.9667,74.416,34.2923,399.0029,258.0057,9.1295,52.5685
2023-05-23,95.059,92.0317,341.5667,104.5852,128.6155,54.3052,221.6477,77.7105,43.1725,190.8456,63.2871,161.2708,27.9558,39.6131,26.6868,131.5118,162.781,32.7545,26.828,118.6541,207.0904,74.0074,74.0747,33.3874,390.4231,254.722,9.1026,53.0725
2023-05-24,93.5168,89.5447,342.4546,103.3478,125.355,53.5492,223.3365,75.1835,42.6408,189.7702,61.6649,156.6783,27.5185,38.9791,26.2433,128.1021,162.8976,32.2772,26.5995,118.1718,203.41,73.0449,72.9699,31.9722,388.4281,254.1027,8.9407,52.0355
2023-05-25,92.5898,90.9659,344.1241,102.729,125.0074,53.1615,221.1205,73.2461,41.8514,191.1714,59.8832,156.4786,27.1723,37.8884,26.3463,129.3699,162.0037,31.3683,26.4377,118.0976,196.4517,72.4087,72.431,32.3765,392.2904,255.3036,8.8237,51.6478
2023-05-26,92.3402,91.8493,343.7574,103.8505,125.6557,53.4716,223.688,73.2461,41.8265,192.0532,58.9361,154.9573,27.1812,37.9256,26.77,130.7626,162.1786,31.1113,27.1041,117.977,195.5125,72.235,73.0328,33.474,392.2904,256.908,8.8057,52.1518
2023-05-30,92.8928,89.3334,342.5028,104.4112,126.2383,53.2778,223.0046,73.1993,41.7085,192.1022,58.1484,155.0429,26.7551,37.6646,27.3592,129.8598,162.1465,30.6156,27.2374,117.2258,193.471,71.7468,71.7124,33.1563,391.3764,257.1331,8.7608,50.4073
