date,status,status_code,objective,V,best_bound,mip_gap,solve_time_s,n_iterations,n_nodes,n_lazy_calls,n_lazy_cuts,cplex_cuts,n_variables,n_constraints
2024-04-04,integer optimal solution,101,6.848495532130815e-05,6.848495532130815e-05,6.848495532130815e-05,0.0,3.2868828773498535,209,0,466,465,465,707,401
2024-04-05,integer optimal solution,101,6.806292412782957e-05,6.806292412782957e-05,6.806292412782957e-05,0.0,1.1271328926086426,209,0,188,187,187,707,401
2024-04-08,integer optimal solution,101,6.826332929880419e-05,6.826332929880419e-05,6.826332929880419e-05,0.0,1.4543359279632568,211,0,224,223,223,707,401
2024-04-09,integer optimal solution,101,6.767651806034146e-05,6.767651806034146e-05,6.767651806034146e-05,0.0,3.262238025665283,208,0,472,471,471,707,401
2024-04-10,integer optimal solution,101,6.793409501800596e-05,6.793409501800596e-05,6.793409501800596e-05,0.0,2.455770969390869,204,0,362,361,361,707,401
2024-04-11,integer optimal solution,101,6.837717710218643e-05,6.837717710218643e-05,6.837717710218643e-05,0.0,3.1053879261016846,204,0,443,442,442,707,401
2024-04-12,integer optimal solution,101,6.664888338267005e-05,6.664888338267005e-05,6.664888338267005e-05,0.0,2.554069995880127,204,0,376,375,375,707,401
2024-04-15,integer optimal solution,101,6.717122463798558e-05,6.717122463798558e-05,6.717122463798558e-05,0.0,1.448470115661621,202,0,228,227,227,707,401
2024-04-16,integer optimal solution,101,6.773313887112877e-05,6.773313887112877e-05,6.773313887112877e-05,0.0,4.304877996444702,205,0,592,591,591,707,401
2024-04-17,integer optimal solution,101,6.77477922773218e-05,6.77477922773218e-05,6.77477922773218e-05,0.0,2.3274850845336914,207,0,352,351,351,707,401
2024-04-18,integer optimal solution,101,6.806070247145699e-05,6.806070247145699e-05,6.806070247145699e-05,0.0,2.115602970123291,204,0,323,322,322,707,401
2024-04-19,integer optimal solution,101,6.755236192505113e-05,6.755236192505113e-05,6.755236192505113e-05,0.0,1.3145899772644043,210,0,202,201,201,707,401
2024-04-22,integer optimal solution,101,6.738276298584192e-05,6.738276298584192e-05,6.738276298584192e-05,0.0,2.833376169204712,205,0,413,412,412,707,401
2024-04-23,integer optimal solution,101,6.874844678359237e-05,6.874844678359237e-05,6.874844678359237e-05,0.0,3.6541478633880615,203,0,513,512,512,707,401
2024-04-24,integer optimal solution,101,6.874975443807484e-05,6.874975443807484e-05,6.874975443807484e-05,0.0,4.178167819976807,210,0,582,581,581,707,401
2024-04-25,integer optimal solution,101,6.916412608048448e-05,6.916412608048448e-05,6.916412608048448e-05,0.0,2.1632368564605713,204,0,323,322,322,707,401
2024-04-26,integer optimal solution,101,6.96834569876478e-05,6.96834569876478e-05,6.96834569876478e-05,0.0,2.802178144454956,202,0,411,410,410,707,401
2024-04-29,integer optimal solution,101,6.948847918374403e-05,6.948847918374403e-05,6.948847918374403e-05,0.0,1.9607889652252197,206,0,288,287,287,707,401
2024-04-30,integer optimal solution,101,6.870245150801112e-05,6.870245150801112e-05,6.870245150801112e-05,0.0,2.4864439964294434,203,0,372,371,371,707,401
2024-05-01,integer optimal solution,101,6.88671400474696e-05,6.88671400474696e-05,6.88671400474696e-05,0.0,2.475432872772217,203,0,369,368,368,707,401
2024-05-02,integer optimal solution,101,6.888063299919068e-05,6.888063299919068e-05,6.888063299919068e-05,0.0,2.3118841648101807,203,0,349,348,348,707,401
2024-05-03,integer optimal solution,101,6.888235117343869e-05,6.888235117343869e-05,6.888235117343869e-05,0.0,1.575667142868042,218,0,246,245,245,707,401
2024-05-06,integer optimal solution,101,6.892425097422013e-05,6.892425097422013e-05,6.892425097422013e-05,0.0,2.052612066268921,210,0,312,311,311,707,401
2024-05-07,integer optimal solution,101,6.900928610600219e-05,6.900928610600219e-05,6.900928610600219e-05,0.0,1.5025968551635742,206,0,237,236,236,707,401
2024-05-08,integer optimal solution,101,6.915286594450227e-05,6.915286594450227e-05,6.915286594450227e-05,0.0,2.614751100540161,208,0,371,370,370,707,401
2024-05-09,integer optimal solution,101,6.903926727940895e-05,6.903926727940895e-05,6.903926727940895e-05,0.0,1.9360640048980713,210,0,292,291,291,707,401
2024-05-10,integer optimal solution,101,6.914433805748779e-05,6.914433805748779e-05,6.914433805748779e-05,0.0,2.2345731258392334,213,0,332,331,331,707,401
2024-05-13,integer optimal solution,101,6.953783579814933e-05,6.953783579814933e-05,6.953783579814933e-05,0.0,2.9947011470794678,205,0,432,431,431,707,401
2024-05-14,integer optimal solution,101,6.955172861320719e-05,6.955172861320719e-05,6.955172861320719e-05,0.0,4.153972148895264,206,0,551,550,550,707,401
