date,status,status_code,objective,V,best_bound,mip_gap,solve_time_s,n_iterations,n_nodes,n_lazy_calls,n_lazy_cuts,cplex_cuts,n_variables,n_constraints
2024-03-18,integer optimal solution,101,0.0022254139513975804,0.0022254139513975804,0.0022254139513975804,0.0,4.8296191692352295,2205,0,106,609,609,2707,4401
2024-03-19,integer optimal solution,101,0.0022288273810052127,0.0022288273810052127,0.0022288273810052127,0.0,4.532014846801758,2205,0,102,522,522,2707,4401
2024-03-20,integer optimal solution,101,0.0023275974763539097,0.0023275974763539097,0.0023275974763539097,0.0,4.58574104309082,2205,0,101,454,454,2707,4401
2024-03-21,integer optimal solution,101,0.002306206239985894,0.002306206239985894,0.002306206239985894,0.0,5.323498964309692,2205,0,115,600,600,2707,4401
2024-03-22,integer optimal solution,101,0.0023855835753289986,0.0023855835753289986,0.0023855835753289986,0.0,5.036168813705444,2205,0,110,560,560,2707,4401
2024-03-25,integer optimal solution,101,0.002435708375451283,0.002435708375451283,0.002435708375451283,0.0,4.4064719676971436,2205,0,97,491,491,2707,4401
2024-03-26,integer optimal solution,101,0.0023093874718242884,0.0023093874718242884,0.0023093874718242884,0.0,4.432499170303345,2205,0,97,501,501,2707,4401
2024-03-27,integer optimal solution,101,0.0022675166961266544,0.0022675166961266544,0.0022675166961266544,0.0,5.686666011810303,2205,0,124,636,636,2707,4401
2024-03-28,integer optimal solution,101,0.0022066211158959952,0.0022066211158959952,0.0022066211158959952,0.0,5.046813011169434,2206,0,110,555,555,2707,4401
2024-04-01,integer optimal solution,101,0.002229195880629635,0.002229195880629635,0.002229195880629635,0.0,5.3714470863342285,2205,0,117,624,624,2707,4401
2024-04-02,integer optimal solution,101,0.002154226919792795,0.002154226919792795,0.002154226919792795,0.0,5.549346923828125,2205,0,125,562,562,2707,4401
2024-04-03,integer optimal solution,101,0.002201777067030106,0.002201777067030106,0.002201777067030106,0.0,5.309404134750366,2207,0,117,551,551,2707,4401
2024-04-04,integer optimal solution,101,0.0020327523695898263,0.0020327523695898263,0.0020327523695898263,0.0,6.147706985473633,2207,0,138,645,645,2707,4401
2024-04-05,integer optimal solution,101,0.002046095631451581,0.002046095631451581,0.002046095631451581,0.0,7.263811111450195,2205,0,158,741,741,2707,4401
2024-04-08,integer optimal solution,101,0.0020550545532391083,0.0020550545532391083,0.0020550545532391083,0.0,6.906164884567261,2205,0,145,718,718,2707,4401
2024-04-09,integer optimal solution,101,0.0017445192311852907,0.0017445192311852907,0.0017445192311852907,0.0,6.714521169662476,2208,0,141,847,847,2707,4401
2024-04-10,integer optimal solution,101,0.0017449799730181786,0.0017449799730181786,0.0017449799730181786,0.0,8.6873619556427,2205,0,184,1023,1023,2707,4401
2024-04-11,integer optimal solution,101,0.0017842363739032276,0.0017842363739032276,0.0017842363739032276,0.0,10.389169931411743,2205,0,225,1036,1036,2707,4401
2024-04-12,integer optimal solution,101,0.0017066416875749341,0.0017066416875749341,0.0017066416875749341,0.0,9.825326919555664,2206,0,201,1090,1090,2707,4401
2024-04-15,integer optimal solution,101,0.0017067559935528618,0.0017067559935528618,0.0017067559935528618,0.0,14.821458101272583,2206,0,300,1556,1556,2707,4401
2024-04-16,integer optimal solution,101,0.0017884000435474203,0.0017884000435474203,0.0017884000435474203,0.0,11.735765933990479,2382,0,249,1091,1091,2707,4401
2024-04-17,integer optimal solution,101,0.001767018619907496,0.001767018619907496,0.001767018619907496,0.0,12.259656190872192,2205,0,259,1162,1162,2707,4401
