"date","asset","adjClose"
"2023-11-15","003B70",46.2759
"2023-11-16","003B70",46.8227
"2023-11-17","003B70",46.6639
"2023-11-20","003B70",46.9373
"2023-11-21","003B70",47.2284
"2023-11-22","003B70",47.0167
"2023-11-24","003B70",47.5459
"2023-11-27","003B70",47.7399
"2023-11-28","003B70",47.4577
"2023-11-29","003B70",47.3342
"2023-11-30","003B70",47.8216
"2023-12-01","003B70",48.3888
"2023-12-04","003B70",49.213
"2023-12-05","003B70",48.6724
"2023-12-06","003B70",48.4863
"2023-12-07","003B70",48.4686
"2023-12-08","003B70",47.733
"2023-12-11","003B70",48.2027
"2023-12-12","003B70",48.2825
"2023-12-13","003B70",50.179
"2023-12-14","003B70",51.2425
"2023-12-15","003B70",50.7728
"2023-12-18","003B70",50.0816
"2023-12-19","003B70",50.6222
"2023-12-20","003B70",50.2499
"2023-12-21","003B70",50.4804
"2023-12-22","003B70",50.4183
"2023-12-26","003B70",51.1362
"2023-12-27","003B70",51.4021
"2023-12-28","003B70",51.9161
"2023-12-29","003B70",51.1149
"2024-01-02","003B70",52.1386
"2024-01-03","003B70",51.3909
"2024-01-04","003B70",51.3553
"2024-01-05","003B70",51.56
"2024-01-08","003B70",52.9487
"2024-01-09","003B70",52.7796
"2024-01-10","003B70",52.6193
"2024-01-11","003B70",52.7618
"2024-01-12","003B70",52.4324
"2024-01-16","003B70",51.9339
"2024-01-17","003B70",50.928
"2024-01-18","003B70",49.9577
"2024-01-19","003B70",50.3137
"2024-01-22","003B70",49.4769
"2024-01-23","003B70",49.8419
"2024-01-24","003B70",48.9517
"2024-01-25","003B70",49.3345
"2024-01-26","003B70",48.9339
"2024-01-29","003B70",48.8894
"2024-01-30","003B70",49.1209
"2024-01-31","003B70",48.6468
"2024-02-01","003B70",49.416
"2024-02-02","003B70",48.468
"2024-02-05","003B70",47.0906
"2024-02-06","003B70",48.0744
"2024-02-07","003B70",47.7256
"2024-02-08","003B70",47.5467
"2024-02-09","003B70",47.189
"2024-02-12","003B70",47.1085
"2024-02-13","003B70",46.0799
"2024-02-14","003B70",45.9636
"2024-02-15","003B70",46.5271
"2024-02-16","003B70",46.8044
"2024-02-20","003B70",46.9296
"2024-02-21","003B70",47.1263
"2024-02-22","003B70",47.2426
"2024-02-23","003B70",47.3499
"2024-02-26","003B70",46.9475
"2024-02-27","003B70",46.7865
"2024-02-28","003B70",46.5271
"2024-02-29","003B70",46.8417
"2024-03-01","003B70",46.9586
"2024-03-04","003B70",47.381
"2024-03-05","003B70",46.9676
"2024-03-06","003B70",46.8866
"2024-03-07","003B70",46.9586
"2024-03-08","003B70",47.5608
"2024-03-11","003B70",47.7226
"2024-03-12","003B70",47.5339
"2024-03-13","003B70",46.9945
"2024-03-14","003B70",46.4372
"2024-03-15","003B70",46.9136
"2024-03-18","003B70",46.9316
"2024-03-19","003B70",46.8327
"2024-03-20","003B70",47.1383
"2024-03-21","003B70",47.1833
"2024-03-22","003B70",46.8147
"2024-03-25","003B70",46.8956
"2024-03-26","003B70",47.2822
"2024-03-27","003B70",48.3339
"2024-03-28","003B70",48.8668
"2024-04-01","003B70",48.2887
"2024-04-02","003B70",47.7558
"2024-04-03","003B70",47.6655
"2024-04-04","003B70",47.53
"2024-04-05","003B70",47.8822
"2024-04-08","003B70",48.4513
