,0157B1,03B8CF,055018,061366,0624BE,063384,067779,06EF42,07EC43,095294
102,0.025439520375921464,0.013614096754519954,0.0030497879991261212,0.022083333333333382,0.004380841121495285,0.0018161120800596663,0.12452129333302639,0.017980789600602103,0.020467284254842913,0.01914241960183767
103,0.000711068973690475,0.014616504383269129,0.016274712910043745,-0.0012739502649816551,0.017446932247746478,0.02537491372278358,0.04212279217056594,-0.0024131252761810254,0.014370939857502105,0.020285499624342566
104,-0.0018948365703457674,-0.007690139659567777,-0.0116147241331311,-0.015102811367926974,0.017147756501857712,-0.00883867744724231,0.016948708545082975,-0.018827961609067204,-0.00809562390855953,-0.0077319587628866294
105,0.005457997152349294,0.01824465261775297,-0.0060539631036243624,-0.0007770812827022001,0.018263557178982818,-0.011749676987718092,0.03333247469153292,0.0159322395789039,0.01616719114579436,0.027829313543599257
106,-0.0127448666509323,0.007031542862624166,-0.014151361116522815,-0.020167980091248375,-0.004415011037527695,0.02367310868434256,-0.019849183597158187,0.008578557968717196,0.005252084020534415,-0.009386281588447582
107,0.002310941110845536,-0.021427371787962203,-0.008631041871143351,-0.015291814381713396,0.004434589800443561,-0.030280501593973372,0.006326498171991786,0.0164946505625805,-0.006761772173674834,-0.0032798833819241927
108,-0.007552870090634463,-0.008112587446622589,-0.007697076636940266,-0.008167651800107372,0.01821192052980123,-0.018073778089019908,-0.0006255133632400341,0.00540899733328696,-0.02258683760217722,-0.009140767824497258
109,0.042617960426179664,-0.010250145914145723,-0.012653069070916411,0.013544262650341315,0.00840108401084017,0.015792607819625052,-0.008181019276605724,0.005632174672579609,-0.009180182619182397,-0.01070110701107021
110,-0.006300422589319963,0.0028884916959125715,-0.002899098144888662,-0.01368398546076546,-0.007524858908895489,0.008255370407548682,0.002537019448357606,0.0064365588293916875,-0.00894563399407155,-0.035807534502051375
111,-0.015464316090621,-0.00307790775122817,-0.003564601196206333,-0.03235421634511163,0.006769564040075819,-0.01233514361038203,-0.07594976951200126,-0.004235711090699889,0.0067706209855832,0.009284332688587946
112,0.014529176156443953,-0.02141222280508063,0.023347348143764355,0.02341080929711553,0.007799892415277008,-0.0050608849924542116,0.08835753113603527,0.02635734406852604,0.010726614884153165,0.0026830203142966763
113,-0.001083759095835383,0.003154965336718485,0.005152166523843492,0.008154107152629613,-0.020549773151854713,-0.0064923110056655416,0.0881008528744207,-0.006907484806874394,0.0038014197440651718,-0.0038226299694190144
114,-0.008834469931803987,0.006796535933377085,0.0,-0.0011399413744436432,0.031335149863760174,0.010892393039870439,-0.007518622244430781,-0.015221424714587857,0.018463989739864926,0.006523407521105208
115,0.019233776387803034,0.008566056867632881,0.001006862285625005,0.03304168251725457,-0.004491413474240468,0.01659257346295032,0.09732337306512433,0.011218873944814415,0.011465101150846858,0.018680899733129943
116,-0.0010739490641302144,0.0104896478054604,0.015359902859867111,0.006838865800410242,-0.010350318471337595,0.029359196523348615,0.0069036897927826245,-0.012491343051637634,0.004289187468140857,0.014221556886227641
117,0.001228689909384093,-0.024816396751430516,-0.017379666614807564,-0.02319870421652123,-0.03137570394207567,0.013797077306820987,0.013182853812324443,-0.007322767975505257,-0.0004569719049245466,-0.022140221402214073
118,-0.015493173799662386,-0.02352298828433769,-0.01704516190567023,-0.020379780690024083,-0.016611295681062968,-0.001726837930446171,-0.01822004204625096,-0.037136373191989425,-0.012514731821525467,-0.009433962264150943
119,0.01106263633530685,0.010176233868356602,0.00727261083332765,0.03276182155727859,0.000563063063062951,0.02747036218552357,0.00954542064836426,0.004614496695941581,0.009736889321781883,0.03695238095238091
120,-0.02041917090460784,-0.0010275734452396732,0.013050129374206406,0.008882309400444151,-0.0061902082160945095,-0.008020563155842667,0.01365511855893127,0.0329315716624418,0.019895224828732856,0.01322556943423951
121,0.012978840556910294,0.04866648781349294,0.025125972189600682,-0.006288648988575562,0.01359003397508485,0.019265071230670377,-0.02072727651290394,0.00184617507189392,0.008103079761434342,-0.00036258158085562044
122,0.01568566547600567,-0.003433771028794301,0.004812419530186141,0.028161586330555866,-0.013966480446927375,-0.01420007104751074,-0.03597474113920014,0.03601024585225458,-0.00014813648925766394,0.009067827348567283
123,0.02675840978593272,0.012700095847346155,0.01277288706389768,0.010207221994255132,-0.03739376770538245,-0.0010927567659502306,-0.025798945766524597,0.022229440861894434,0.007741278329513566,0.017253774263120074
124,0.0028294862248696606,-0.005444336310691558,-0.02303412368239709,-0.028687484133028573,0.027369040612124772,-0.008752681672682597,-0.029295073152786122,0.030444616561188798,0.013443169757921768,-0.020141342756183754
125,-0.00831600831600835,-0.005864783378289351,0.016853922100992878,0.0805541035023523,0.0718991692924665,0.020468347921119644,0.027858596341882844,-0.017343762200378407,-0.0023316997834525195,0.008294266137756957
126,-0.005465708295896899,0.012880982964068954,0.023274506313643445,-0.024865753954815998,-0.006948156066274856,0.012486415802169835,0.030490053151962508,-0.001327553312823453,0.010666367770059651,0.012160228898426318
