date,SP500
2023-08-10,4468.8301
2023-08-11,4464.0498
2023-08-14,4489.7202
2023-08-15,4437.8599
2023-08-16,4404.3301
2023-08-17,4370.3599
2023-08-18,4369.71
2023-08-21,4399.77
2023-08-22,4387.5498
2023-08-23,4436.0098
2023-08-24,4376.3101
2023-08-25,4405.71
2023-08-28,4433.3101
2023-08-29,4497.6299
2023-08-30,4514.8701
2023-08-31,4507.6602
2023-09-01,4515.77
2023-09-05,4496.8301
2023-09-06,4465.48
2023-09-07,4451.1401
2023-09-08,4457.4902
2023-09-11,4487.46
2023-09-12,4461.8999
2023-09-13,4467.4399
2023-09-14,4505.1001
2023-09-15,4450.3198
2023-09-18,4453.5298
2023-09-19,4443.9502
2023-09-20,4402.2002
2023-09-21,4330.0
2023-09-22,4320.0601
2023-09-25,4337.4399
2023-09-26,4273.5298
2023-09-27,4274.5098
2023-09-28,4299.7002
2023-09-29,4288.0498
2023-10-02,4288.3901
2023-10-03,4229.4502
2023-10-04,4263.75
2023-10-05,4258.1899
2023-10-06,4308.5
2023-10-09,4335.6602
2023-10-10,4358.2402
2023-10-11,4376.9502
2023-10-12,4349.6099
2023-10-13,4327.7798
2023-10-16,4373.6299
2023-10-17,4373.2002
2023-10-18,4314.6001
2023-10-19,4278.0
2023-10-20,4224.1602
2023-10-23,4217.04
2023-10-24,4247.6802
2023-10-25,4186.77
2023-10-26,4137.23
2023-10-27,4117.3701
2023-10-30,4166.8198
2023-10-31,4193.7998
2023-11-01,4237.8599
2023-11-02,4317.7798
2023-11-03,4358.3398
2023-11-06,4365.98
2023-11-07,4378.3799
2023-11-08,4382.7798
2023-11-09,4347.3501
2023-11-10,4415.2402
2023-11-13,4411.5498
2023-11-14,4495.7002
2023-11-15,4502.8799
2023-11-16,4508.2402
2023-11-17,4514.02
2023-11-20,4547.3799
2023-11-21,4538.1899
2023-11-22,4556.6201
2023-11-24,4559.3398
2023-11-27,4550.4302
2023-11-28,4554.8901
2023-11-29,4550.5801
2023-11-30,4567.7998
2023-12-01,4594.6299
2023-12-04,4569.7798
2023-12-05,4567.1802
2023-12-06,4549.3398
2023-12-07,4585.5898
2023-12-08,4604.3701
2023-12-11,4622.4399
2023-12-12,4643.7002
2023-12-13,4707.0898
2023-12-14,4719.5498
2023-12-15,4719.1899
2023-12-18,4740.5601
2023-12-19,4768.3701
2023-12-20,4698.3501
2023-12-21,4746.75
2023-12-22,4754.6299
2023-12-26,4774.75
2023-12-27,4781.5801
2023-12-28,4783.3501
2023-12-29,4769.8301
2024-01-02,4742.8301
2024-01-03,4704.8101
2024-01-04,4688.6802
2024-01-05,4697.2402
2024-01-08,4763.54
2024-01-09,4756.5
2024-01-10,4783.4502
2024-01-11,4780.2402
2024-01-12,4783.8301
2024-01-16,4765.98
2024-01-17,4739.21
2024-01-18,4780.9399
2024-01-19,4839.8101
2024-01-22,4850.4302
2024-01-23,4864.6001
2024-01-24,4868.5498
2024-01-25,4894.1602
2024-01-26,4890.9702
2024-01-29,4927.9302
2024-01-30,4924.9702
2024-01-31,4845.6499
2024-02-01,4906.1899
2024-02-02,4958.6099
2024-02-05,4942.8101
2024-02-06,4954.23
2024-02-07,4995.0601
2024-02-08,4997.9102
2024-02-09,5026.6099
2024-02-12,5021.8398
2024-02-13,4953.1699
2024-02-14,5000.6201
2024-02-15,5029.73
2024-02-16,5005.5698
2024-02-20,4975.5098
2024-02-21,4981.7998
2024-02-22,5087.0298
2024-02-23,5088.7998
2024-02-26,5069.5298
2024-02-27,5078.1802
2024-02-28,5069.7598
2024-02-29,5096.27
2024-03-01,5137.0801
2024-03-04,5130.9502
2024-03-05,5078.6499
2024-03-06,5104.7598
2024-03-07,5157.3599
2024-03-08,5123.6899
2024-03-11,5117.9399
2024-03-12,5175.27
2024-03-13,5165.3101
2024-03-14,5150.48
2024-03-15,5117.0898
2024-03-18,5149.4199
2024-03-19,5178.5098
2024-03-20,5224.6201
2024-03-21,5241.5298
2024-03-22,5234.1802
2024-03-25,5218.1899
2024-03-26,5203.5801
2024-03-27,5248.4902
2024-03-28,5254.3501
2024-04-01,5243.77
2024-04-02,5205.8101
2024-04-03,5211.4902
2024-04-04,5147.21
2024-04-05,5204.3398
2024-04-08,5202.3901
2024-04-09,5209.9102
2024-04-10,5160.6401
2024-04-11,5199.0601
2024-04-12,5123.4102
2024-04-15,5061.8198
2024-04-16,5051.4102
2024-04-17,5022.21
2024-04-18,5011.1201
2024-04-19,4967.23
2024-04-22,5010.6001
2024-04-23,5070.5498
2024-04-24,5071.6299
2024-04-25,5048.4199
2024-04-26,5099.96
2024-04-29,5116.1699
2024-04-30,5035.6899
2024-05-01,5018.3901
2024-05-02,5064.2002
2024-05-03,5127.79
2024-05-06,5180.7402
2024-05-07,5187.7002
2024-05-08,5187.6699
2024-05-09,5214.0801
2024-05-10,5222.6802
2024-05-13,5221.4199
2024-05-14,5246.6802
2024-05-15,5308.1499
2024-05-16,5297.1001
2024-05-17,5303.27
2024-05-20,5308.1299
2024-05-21,5321.4102
2024-05-22,5307.0098
2024-05-23,5267.8398
2024-05-24,5304.7202
2024-05-28,5306.04
2024-05-29,5266.9502
2024-05-30,5235.48
2024-05-31,5277.5098
