date,0157B1,03B8CF,55018,61366,0624BE,063384,067779,06EF42,07EC43,095294
2004-03-31,2.1589,37.3044,55316,74.34,22.9234,25.9689,29.7932,20.0735,5.0368,32.8951
2004-04-01,2.2317,36.9308,55734,74.96,23.3702,26.4726,30.2576,20.0508,5.1403,33.5639
2004-04-02,2.2991,37.2634,54.9933,78.09,23.3024,26.2143,30.4765,19.1103,5354,34.3875
2004-04-05,2.3425,37.7054,55.8806,78.28,24.0135,26.4467,30.6092,18.4248,5413,34.6404
2004-04-06,2.3165,37.7418,56.3353,79.2,24163,26.4597,30.7618,18.5437,5.2583,34.9504
2004-04-07,2.2871,37.7054,55.6313,80.82,24.4541,26.6469,30.5031,18.3454,5.2216,34.7628
2004-04-08,2.3994,37.5596,55.3013,80.21,22.6252,26.2078,30.2045,18.0848,5.2082,34885
2004-04-12,2.3924,38.1018,56.8486,84.64,22.5573,26337,30.3505,17.7392,5226,35.1461
2004-04-13,2.3235,37.5413,55074,86.35,22.0361,26.1562,29.6605,17.3143,5.1993,35.3256
2004-04-14,2334,37.6644,53.6439,88.27,22.1241,25.7752,29.2625,17.5126,5.1481,35.6354
2004-04-15,2344,37.7509,52.6026,88.66,22.7536,25.6074,29.2492,17.7449,5.1537,35.1052
2004-04-16,2.2697,38.1519,54.0619,90.15,22408,25.5686,29.6539,17.9998,5.1715,35032
2004-04-19,2.35,38.1656,54.0986,89.27,22.1376,25.4072,29.5677,17.9715,5.3485,35.1704
2004-04-20,2.2547,37.9104,52.7859,93.74,21.8258,25.4976,29.2691,17116,5.1782,35.0728
2004-04-21,2.2806,38.2385,52.3826,97.46,22.3745,25.3556,29.2957,17.3369,5.2561,34.6242
2004-04-22,2.4373,39.6191,51.8106,94.53,22408,25.0844,29561,17.9488,5.4208,34.8688
2004-04-23,2.3091,40052,50.4906,96.33,22.2187,25.0908,29.3885,17.3766,5.3674,34.7789
2004-04-26,2357,39.9836,49.6326,119.3401,21.8873,24.8584,29.0369,17.2973,5304,34.0532
2004-04-27,2.3944,40.2707,50.1826,114.7048,22.0291,23.6058,28.9706,17.4333,5.1715,33.5883
2004-04-28,2343,39.5143,48.6939,113.45,21.5278,23.6445,28.8247,16827,4.9812,33.4659
2004-04-29,2.3041,39.2409,48.4519,114.56,20.7009,23.2055,28.6124,16.3171,4.8687,33.2948
2004-04-30,2.1749,39405,48.0559,115.92,21304,23.9222,28.3072,16.3171,4.8153,33368
2004-05-03,2.2153,39.6556,48.1219,112.05,21.0468,23.4637,28.3205,16.5098,4783,32732
2004-05-04,2.1923,39.4141,48.9946,109.4,21.1754,23.5025,28.5328,16.3398,4.8632,32.7156
2004-05-05,2.2078,39.0723,49.1119,109.9101,21.5073,23.4896,28.6588,16.4644,4.9956,32732
2004-05-06,2.1519,38.6258,48.7526,111.64,22341,23.2119,28.3072,16.0565,4.9288,32.5034
2004-05-07,2.0901,38.4709,46.9045,110.07,21.9816,22.7729,27531,15.2576,4.7608,32332
2004-05-10,2.0582,38.0653,45.2032,108.75,22.0763,22.0433,27.0003,14.4871,4.7507,31.9733
2004-05-11,2.13,38.3433,46.4939,107.1601,22964,22.7729,27.1861,14.7704,4.7619,32.2343
2004-05-12,2146,38.8901,47.3665,108.0799,23.6413,22.7341,27.1463,14.8214,4.8086,31.8427
2004-05-13,2.1754,38.5073,48.0852,107.26,23.6816,22.7277,27.1927,14.9744,4.8865,32.2427
