Date,SSD ALL,SP500,Risk free rate,HML,CMA,SMB
2024-02-29,1.1075882832091923,1.0745208857470987,1.006453453218903,0.9348152164020087,0.9620298187882558,0.9405839112918514
2024-03-01,1.1180627748034908,1.0831254739654284,1.0066170151394924,0.9295802511901574,0.9604905710781946,0.9406779696829806
2024-03-04,1.1264374222067164,1.0818330178009117,1.006782098959174,0.932833782069323,0.9627957484487822,0.9349398340679144
2024-03-05,1.1238227894323793,1.070805783238999,1.0069440646880372,0.9433748038067065,0.9681874046400955,0.9354073039849483
2024-03-06,1.1302485899396582,1.0763109140257838,1.007104789836309,0.9431861288459451,0.9678969484187034,0.9328817042641889
2024-03-07,1.1382151257379958,1.0874013597914882,1.0072650798711276,0.943657721910368,0.9608313006952469,0.9284038720837208
2024-03-08,1.1320516683149686,1.0803022229280361,1.0074252801990145,0.9493196682418302,0.9663080391092098,0.9339742953162231
2024-03-11,1.1215180525252655,1.0790898666178237,1.0075860821573466,0.9531169469147975,0.9724924105595087,0.9280902572557309
2024-03-12,1.1326012225182052,1.0911776072265373,1.0077488683914215,0.9466357516757768,0.9650042189982004,0.9173244102715644
2024-03-13,1.1327528782902594,1.0890776163371314,1.0079131015086795,0.9462570973751065,0.9666447261704975,0.920535045707515
2024-03-14,1.1306683892627583,1.0859507701952045,1.0080814290531295,0.9361321464331929,0.965678081444327,0.9070952340401853
2024-03-15,1.1251855387139051,1.0789106276440303,1.008250014869596,0.9436212036046584,0.9697339293863931,0.9157126387635671
2024-03-18,1.1306949779945463,1.0857272538605165,1.0084200097952563,0.9415452369567282,0.9686672220640681,0.9061892273204261
2024-03-19,1.1399580283861217,1.091860701482855,1.0085883836222187,0.9392855283880321,0.9694421558417192,0.9102670788433679
2024-03-20,1.1458705336602208,1.1015828081212522,1.0087558643172478,0.9487723122247512,0.9688604905482141,0.9197338564633388
2024-03-21,1.14850315786092,1.1051481266427823,1.0089232960305126,0.9579754036533313,0.9693449207934881,0.9228609515753142
2024-03-22,1.1489924282356765,1.1035985033492974,1.0090887196547629,0.952993931554334,0.9658552790786316,0.9137246281547186
2024-03-25,1.1484691479069917,1.100227035330656,1.0092555151864653,0.9612849787588567,0.9642133251041979,0.9127195310637484
2024-03-26,1.145772337510776,1.0971466382487534,1.0094216081976148,0.9597469227928425,0.9662381730869167,0.9137235225479186
2024-03-27,1.1517352667011906,1.1066156892274086,1.0095862677230987,0.9685765944825367,0.9718423544908209,0.9255105559887866
2024-03-28,1.1520513187838821,1.1078512173564892,1.0097513386486394,0.9730320468171564,0.9725226441389644,0.9298604556019339
2024-04-01,1.151420526128158,1.105620460661241,1.009921164179028,0.97040486029075,0.9695078239421336,0.9213987254559562
2024-04-02,1.151851106183282,1.0976168216525402,1.0100924011462193,0.9707930222348663,0.969701725506922,0.9119083185837599
2024-04-03,1.1596044595319996,1.098814439926912,1.0102632829981628,0.9704047050259724,0.9678592922284589,0.9149176160350864
2024-04-04,1.1501832275691128,1.0852613084327012,1.0104324259007837,0.9721514334950192,0.9688271515206872,0.9167474512671565
2024-04-05,1.1600180206086215,1.0973068168729043,1.010604249062216,0.9654435886039036,0.9631110713267151,0.9121637140108207
2024-04-08,1.1571822464680168,1.0968957332036833,1.010777868732696,0.9667952096279491,0.9640741823980418,0.9170893980664793
2024-04-09,1.148305303129273,1.098481305497323,1.0109492893972258,0.9636047854361769,0.9645562194892408,0.9199323752004854
2024-04-10,1.1441813021429499,1.0880929721686632,1.0111281906288856,0.9535832956676407,0.9602157165015393,0.9055814301473579
2024-04-11,1.1408120745831924,1.0961936207666385,1.0113077375696988,0.9476710792345013,0.955030551632431,0.9060342208624316
