date,03B8CF,06EF42,07EC43,0157B1,0624BE,055018,061366,063384,067779,095294
2024-01-09,85.8412,148.3073,71.1681,151.37,94.01,129.1461,166.91,91.4493,17.3002,23.11
2024-01-10,85.2118,151.0045,71.3529,153.73,96.71,125.2697,162.33,89.7844,17.6984,23.28
2024-01-11,85.6996,151454,72.8412,155.18,98.43,124.6868,160.29,90.1722,17.4495,23.73
2024-01-12,85.0702,150.4181,75.8471,154.62,96.79,124065,160.44,89.7655,16.8822,24.19
2024-01-16,84.6925,149.5093,74.1253,153.16,98.89,123.8901,149.1,89.6803,16.9518,23.59
2024-01-17,83.4651,148.5027,73.6389,151.71,99.47,122.4911,147.26,89.3965,16.7826,22.41
2024-01-18,83.7483,149.0598,73.6,153.5,97.03,121.3641,147.45,89.0181,17.2007,22.81
2024-01-19,84.7869,151.7667,74.7868,155.34,101.11,124337,145.92,87.6748,17.2505,23.0
2024-01-22,84.9915,154.1121,75.1662,154.78,104.67,125.9886,149.91,83.9665,16.5636,23.29
2024-01-23,75.6127,139.8736,75.0105,156.02,102.61,126.0663,151.46,85.3098,16.1754,23.1
2024-01-24,73.3624,136.0428,74.8549,156.87,102.19,127.3585,148.87,84.2976,16.0062,22.76
2024-01-25,75.5183,138.3491,76.1681,157.75,102.46,128.7769,149.23,83.6733,16.3944,23.19
2024-01-26,75.5261,137.3035,75.1759,159.12,103.8,134.7713,147.83,83.5314,15.7573,23.23
2024-01-29,75833,137.0103,75.7498,161.26,105.06,134.5381,149.3,84203,16474,23.16
2024-01-30,75.3373,140.0007,75.4872,159.0,105.69,134.6644,149.03,85.4233,16.3944,22.74
2024-01-31,74.2357,139.6586,75.0203,155.2,101.9,131.4681,146.3,83.3327,16.5039,21.8
2024-02-01,75.4632,143.9781,75.7596,159.28,106.58,130.7297,147.89,85.5179,16.7229,21.65
2024-02-02,74.6449,143.5481,75.7693,171.81,109.47,132.5951,141.82,85.5842,16.3645,21.67
2024-02-05,72.9611,142.2163,75.4775,170.31,106.45,131.3904,139.8,84.1936,15.7573,21.24
2024-02-06,73.7715,140.0619,76.5864,169.15,104.08,130.5257,141.11,85.1679,15.8967,21.35
2024-02-07,73.8345,141.6385,75.8763,170.53,103.96,130.1565,145.46,83.2003,15.6478,21.37
2024-02-08,73.3309,141.5798,76.1681,169.84,107.32,131.5264,143.17,81.8286,15618,22.05
2024-02-09,73.0949,141.9029,75.0008,174.45,110.11,131907,151.5,83.7584,15.2397,22.11
2024-02-12,74.4561,145203,74.4463,172.34,114.94,134.1612,157.22,85.7828,15.4189,22.49
2024-02-13,72906,139.4156,73.4444,168.64,116.85,130.3065,152.34,83.8435,15.0506,21.76
2024-02-14,72.7172,142.4807,74.6506,170.98,119.25,131.8484,158.24,84.6855,15.1999,21.48
2024-02-15,73893,142.3632,75.8958,169.8,119.8,133.0682,159.78,86.4009,15.1501,22.17
2024-02-16,72.9892,138.3385,75.1927,169.51,120.9,133.9172,156975,87373,14.7321,21.72
2024-02-20,73.4451,140.4928,74.9388,167.08,116.39,134.0734,153.25,87.3635,14.6923,20.84
2024-02-21,73.3571,141002,75.6516,168.59,117.25,131.7508,150.03,88.6882,14.6425,20.36
2024-02-22,73773,142.1184,77.5949,174.58,121.22,131.3117,144.73,89.8032,15.1402,21.24
2024-02-23,74053,143.0682,77.9465,174.99,122.82,132.2485,142.89,89.2504,15.1601,21.32
2024-02-26,73.4451,142.8332,77.6437,174.73,126.21,131.2434,144.58,88.8216,14.7122,21.59
2024-02-27,73829,142.4219,77.2824,173.54,125.78,133.5171,144.99,88.7453,15837,21.84
2024-02-28,73.1571,142.9507,76.6379,173.16,126.0,134.2978,149.25,89.3362,15399,21.57
2024-02-29,73.6851,146.3389,77.1652,176.76,127.76,134288,153.89,89.9366,15.7872,21.86
2024-03-01,73.4771,149.7957,76.7649,178.22,131.37,133.4683,158.05,88.7358,15.9266,21.69
2024-03-04,73.1411,149.3061,77.2238,177.58,137.3,132.7072,156.7,85.8577,15.9962,20.73
2024-03-05,74141,147.9841,75.9543,174.12,139.95,134.2393,159.06,87.1443,15.8171,20.2
2024-03-06,74005,148.7283,74.8899,173.51,134.99,132.4632,158.42,87.5636,15.9365,20.38
2024-03-07,74085,152.0773,75.6419,176.82,127.78,134.3271,160.35,88.1449,15.5881,20.43
2024-03-08,75.1088,150393,74.9681,175.35,118.64,133.9172,161.35,87.8686,16.2949,20.86
2024-03-11,75.2288,149.5411,75.1536,171.96,116.54,135.1175,162.16,89.4029,16.1555,21.0
2024-03-12,78.9643,151.4114,75.2805,175.39,120.56,136.8838,159.38,89.2695,16.1655,21.1
2024-03-13,83.2436,151.9794,75.2122,176555,125.97,137.2156,158.04,90.3178,16.5736,20.74
2024-03-14,82.4837,147.2007,74.5579,178.75,125.36,136.0641,149.39,89.7841,16.1256,20.51
2024-03-15,83.9875,148.5422,73.5619,174.42,125.89,132.2778,147.42,91.0707,16.1854,20.64
2024-03-18,83.8275,148366,73.3275,174.48,130.82,132.9804,149.48,92.1476,16.1157,20.7
2024-03-19,84.2435,152.8509,72.8978,175.9,131.08,133.5464,147.48,93.1674,16.0062,20.86
2024-03-20,86.4752,155.2893,73.3861,178.15,135.04,138.3476,151.02,92.8338,16.7727,21.22
