0157B1,03B8CF,055018,061366,0624BE,063384,067779,06EF42,07EC43,095294
138.23,82.2959,96.5183,183.21,-53.32,105.6539,15.2298,114.3725,69.1082,20.55
143.1,83.574,96.6246,179.37,-53.4,107.9948,15.4089,114.9282,69.0985,20.42
141.23,83.0086,97.6099,180.94,-52.26,107.5624,15.389,111.7693,67.936,20.41
144.85,78.2756,96.924,170.5,-50.64,106.3778,14.9511,111.0089,68.4882,19.98
144.72,79.2594,98.7787,177.0,-51.26,108.3991,15.5583,112.3153,68.7498,20.69
140.39,78.2834,100.9038,174.05,-52.4,105.6821,15.1203,109.5562,67.9748,20.69
139.98,78.2679,99.0878,167.74,-50.89,107.1111,14.971,110.3557,68.0232,20.27
137.63,77.6404,98.2281,169.18,-50.58,106.1146,15.0207,110.7456,67.8973,20.47
135.29,76.6799,97.1365,169.24,-50.25,105.8513,14.5828,110.3654,67.3354,20.55
129.33,75.518,95.562,166.24,-49.32,106.453,14.3837,106.3193,67.0448,20.39
129.12,75.1694,94.9245,162.45,-50.63,103.7924,13.9855,106.5631,67.4323,20.3
131.27,73.4265,94.5478,164.34,-51.76,104.065,13.8362,105.4614,67.5486,20.5
125.98,72.7216,93.7943,161.39,-52.84,102.4386,13.6968,104.7691,66.4927,20.29
125.98,72.3962,92.2391,158.61,-54.56,103.0121,13.9158,104.3304,66.0664,20.35
125.98,72.2413,93.7074,161.5,-56.05,103.9898,14.3737,106.1926,65.7177,20.47
127.12,72.5202,93.746,161.59,-56.37,101.7711,13.657,104.7789,65.6208,20.83
129.46,69.8864,91.8817,156.34,-58.31,100.3044,13.5774,103.5212,65.6402,21.15
124.72,68.7787,89.8822,151.25,-55.49,99.4019,12.6815,100.2746,65.1946,-21.16
127.0,68.1823,89.4572,151.82,-55.13,98.2643,13.0299,101.7565,65.4271,-21.15
125.96,68.0351,88.9742,145.35,-54.54,97.625,13.239,101.191,65.5821,-21.24
127.96,68.4766,90.3555,148.56,-55.01,96.9481,13.1991,101.6883,65.7177,-21.37
128.26,68.9801,91.1186,143.8,-56.88,99.1763,12.6318,103.4529,66.047,-22.04
129.48,70.2118,93.6784,151.56,-59.77,98.2361,12.8408,104.5156,65.7371,-22.2
131.83,70.0181,93.8136,151.5,-61.5,95.8857,12.5919,105.9488,66.202,-22.44
132.33,68.9569,93.6108,149.39,-61.74,95.2182,12.5422,99.7871,63.8965,-22.2
129.79,68.6935,91.959,147.92,-60.39,96.055,12.2037,101.0643,63.7221,-21.68
132.55,69.6696,93.8426,151.29,-62.72,97.1455,12.3033,101.9028,64.6812,-22.25
131.47,70.1421,94.7023,158.06,-62.98,98.8284,12.4426,102.3025,65.0686,-20.89
128.13,68.4766,92.6642,153.13,-63.24,99.007,11.6363,99.8748,63.9643,-20.91
